time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003943626,-0.000111804,1.031938195
0.042000,-0.003936008,-0.000273856,1.026001453
0.062000,-0.004375367,0.000093111,1.019361854
0.082000,-0.004850433,0.000905800,1.016776323
0.102000,-0.004311173,0.001839804,1.017306209
0.122000,-0.002766217,0.002860151,1.019226789
0.142000,-0.000603882,0.004012974,1.020853043
0.162000,0.001792534,0.005320049,1.021126151
0.182000,0.004192851,0.006921021,1.020556569
0.202000,0.006735663,0.008865880,1.019941211
0.222000,0.009585121,0.011001625,1.019564629
0.242000,0.012791977,0.013229953,1.019482255
0.262000,0.016324935,0.015560383,1.019467235
0.282000,0.020108650,0.017995471,1.019420862
0.302000,0.024071962,0.020505995,1.019330144
0.322000,0.028154297,0.023065135,1.019186258
0.342000,0.032300651,0.025648877,1.018984437
0.362000,0.036462151,0.028235141,1.018733740
0.382000,0.040594708,0.030802302,1.018444419
0.402000,0.044636481,0.033352584,1.018184900
0.422000,0.048553154,0.035926856,1.018081069
0.442000,0.052331213,0.038548049,1.018200517
0.462000,0.055960752,0.041206736,1.018510222
0.482000,0.059434541,0.043876197,1.018957734
0.502000,0.062757626,0.046501409,1.019462585
0.522000,0.065965049,0.048995767,1.019926667
0.542000,0.069105320,0.051215079,1.020193100
0.562000,0.072234593,0.052996233,1.020202875
0.582000,0.075397611,0.054217912,1.019966006
0.602000,0.078599311,0.054981153,1.019566655
0.622000,0.081805207,0.055368762,1.018934011
0.642000,0.084970735,0.055428468,1.017850399
0.662000,0.088035382,0.055101220,1.016115427
0.682000,0.090880044,0.054288171,1.013493180
0.702000,0.093418464,0.053844787,1.011999726
0.722000,0.095779799,0.054012928,1.013097525
0.742000,0.098002784,0.054481640,1.015970826
0.762000,0.100036442,0.055137750,1.019185901
0.782000,0.101891942,0.056065600,1.021858931
0.802000,0.103594273,0.057314709,1.023997426
0.822000,0.105166487,0.058875021,1.025812507
0.842000,0.106687151,0.060731310,1.027413249
0.862000,0.108203724,0.062887594,1.028795004
0.882000,0.109726362,0.065354370,1.029880762
0.902000,0.111265235,0.068154655,1.030565619
0.922000,0.112827063,0.071319632,1.030755758
0.942000,0.114436388,0.074857503,1.030328274
0.962000,0.116110161,0.078790344,1.029315114
0.982000,0.117875129,0.083160758,1.027660012
1.002000,0.119697869,0.088109657,1.024858356
1.022000,0.121369526,0.093784787,1.020472288
1.042000,0.122682735,0.099154480,1.017469049
1.062000,0.123965509,0.104032308,1.016120076
1.082000,0.125401154,0.108592972,1.015650034
1.102000,0.126959935,0.112943515,1.015699625
1.122000,0.128602907,0.117151044,1.015997529
1.142000,0.130309656,0.121276423,1.016414285
1.162000,0.132077590,0.125337750,1.016876817
1.182000,0.133908257,0.129293159,1.017434239
1.202000,0.135783315,0.133123368,1.018051028
1.222000,0.137666643,0.136805639,1.018643975
1.242000,0.139537975,0.140257910,1.019091129
1.262000,0.141413450,0.143342167,1.019299746
1.282000,0.143383890,0.145935118,1.019277692
1.302000,0.145528004,0.148019135,1.019146681
1.322000,0.147856146,0.149623245,1.019018769
1.342000,0.150344566,0.150749505,1.018943787
1.362000,0.152973995,0.151414633,1.018890977
1.382000,0.155722961,0.151653528,1.018736243
1.402000,0.158572957,0.151523486,1.018296480
1.422000,0.161574334,0.151111439,1.017335773
1.442000,0.164774880,0.150457963,1.015449047
1.462000,0.168107167,0.149632767,1.012302756
1.482000,0.171129242,0.149552062,1.010493040
1.502000,0.174039468,0.150077388,1.010015488
1.522000,0.176857993,0.151204601,1.010865092
1.542000,0.179660216,0.152918160,1.012929440
1.562000,0.182512403,0.155148670,1.015761018
1.582000,0.185428604,0.157788143,1.018924117
1.602000,0.188395366,0.160760045,1.022004485
1.622000,0.191406876,0.164012015,1.024664640
1.642000,0.194405034,0.167570964,1.026828885
1.662000,0.197361529,0.171474263,1.028546453
1.682000,0.200273991,0.175736517,1.029780388
1.702000,0.203143030,0.180360332,1.030435205
1.722000,0.205994308,0.185349688,1.030416489
1.742000,0.208854452,0.190704539,1.029595971
1.762000,0.211733699,0.196510091,1.027623534
1.782000,0.214503497,0.203036457,1.023790836
1.802000,0.216847122,0.209920079,1.019357204
1.822000,0.218859896,0.216307834,1.016954422
1.842000,0.220893726,0.222376004,1.015811563
1.862000,0.223038435,0.228246853,1.015479326
1.882000,0.225274712,0.233944133,1.015961289
1.902000,0.227566391,0.239531621,1.017056227
1.922000,0.229857653,0.245023787,1.018339396
1.942000,0.232121795,0.250301570,1.019400835
1.962000,0.234406218,0.255141228,1.019983888
1.982000,0.236834794,0.259498239,1.020272374
2.002000,0.239447400,0.263422936,1.020455360
2.022000,0.242219821,0.266937613,1.020555377
2.042000,0.245115787,0.270057738,1.020569921
2.062000,0.248103261,0.272786736,1.020510316
2.082000,0.251143754,0.275137573,1.020340800
2.102000,0.254212469,0.277146399,1.019969344
2.122000,0.257321537,0.278866559,1.019273996
2.142000,0.260517567,0.280362427,1.018097162
2.162000,0.263849556,0.281669468,1.016239643
2.182000,0.267352194,0.282748938,1.013229728
2.202000,0.270736754,0.283988863,1.010301590
2.222000,0.273930281,0.285906166,1.009122849
2.242000,0.277068824,0.288282990,1.009045720
2.262000,0.280053437,0.291038305,1.010273576
2.282000,0.282874167,0.294094056,1.012358427
2.302000,0.285589516,0.297491223,1.014737368
2.322000,0.288264900,0.301217467,1.017204046
2.342000,0.290924639,0.305261880,1.019681096
2.362000,0.293601841,0.309639305,1.022127986
2.382000,0.296292692,0.314365506,1.024453878
