time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003934498,-0.000107303,1.032019496
0.042000,-0.003944323,-0.000308116,1.026059628
0.062000,-0.004391069,0.000285869,1.018916249
0.082000,-0.005121982,0.001288026,1.017565012
0.102000,-0.005025588,0.002309849,1.018836379
0.122000,-0.004305223,0.003443829,1.020439386
0.142000,-0.003395844,0.004772312,1.021633387
0.162000,-0.002493646,0.006363247,1.022237897
0.182000,-0.001661264,0.008152159,1.022523522
0.202000,-0.000861271,0.010098092,1.022659063
0.222000,-0.000067922,0.012184545,1.022711992
0.242000,0.000730545,0.014402447,1.022721291
0.262000,0.001540385,0.016732045,1.022697449
0.282000,0.002361804,0.019153792,1.022639394
0.302000,0.003194076,0.021650467,1.022549629
0.322000,0.004036803,0.024208577,1.022432208
0.342000,0.004887074,0.026815349,1.022289276
0.362000,0.005741742,0.029459199,1.022125959
0.382000,0.006597250,0.032128401,1.021947861
0.402000,0.007444013,0.034808520,1.021755934
0.422000,0.008261936,0.037486099,1.021551847
0.442000,0.009038653,0.040147364,1.021337152
0.462000,0.009767045,0.042777639,1.021113873
0.482000,0.010439588,0.045362189,1.020886183
0.502000,0.011048057,0.047886752,1.020657182
0.522000,0.011582895,0.050337438,1.020428777
0.542000,0.012030479,0.052701447,1.020202637
0.562000,0.012380204,0.054968979,1.019985318
0.582000,0.012631638,0.057130843,1.019780636
0.602000,0.012788194,0.059179880,1.019592762
0.622000,0.012853072,0.061107785,1.019417524
0.642000,0.012826287,0.062919565,1.019269705
0.662000,0.012706704,0.064616717,1.019152641
0.682000,0.012493995,0.066194363,1.019054770
0.702000,0.012194239,0.067632295,1.018945217
0.722000,0.011816778,0.068954445,1.018861532
0.742000,0.011368067,0.070161588,1.018802047
0.762000,0.010849122,0.071262576,1.018773317
0.782000,0.010253082,0.072258532,1.018771529
0.802000,0.009576664,0.073154487,1.018791437
0.822000,0.008818423,0.073949635,1.018814087
0.842000,0.007976191,0.074647434,1.018841743
0.862000,0.007053897,0.075243346,1.018871188
0.882000,0.006060665,0.075724490,1.018886566
0.902000,0.005002058,0.076090597,1.018892288
0.922000,0.003889198,0.076343179,1.018885136
0.942000,0.002731605,0.076478779,1.018854260
0.962000,0.001539376,0.076494269,1.018791199
0.982000,0.000324247,0.076388374,1.018693805
1.002000,-0.000902431,0.076169036,1.018581629
1.022000,-0.002129233,0.075847298,1.018477678
1.042000,-0.003345711,0.075429462,1.018383265
1.062000,-0.004541781,0.074921466,1.018290997
1.082000,-0.005706442,0.074328341,1.018198609
1.102000,-0.006829356,0.073655829,1.018108487
1.122000,-0.007902430,0.072912641,1.018027902
1.142000,-0.008917348,0.072106637,1.017959714
1.162000,-0.009867333,0.071245313,1.017900586
1.182000,-0.010746715,0.070333138,1.017844558
1.202000,-0.011550242,0.069374003,1.017791033
1.222000,-0.012273054,0.068372555,1.017742515
1.242000,-0.012913887,0.067331649,1.017696261
1.262000,-0.013471608,0.066254005,1.017651916
1.282000,-0.013938359,0.065142922,1.017609954
1.302000,-0.014311581,0.064005367,1.017578721
1.322000,-0.014594194,0.062847957,1.017561793
1.342000,-0.014789175,0.061674651,1.017557740
1.362000,-0.014897335,0.060487729,1.017563939
1.382000,-0.014923165,0.059289269,1.017579079
1.402000,-0.014876441,0.058096439,1.017640829
1.422000,-0.014767737,0.056945678,1.017791629
1.442000,-0.014602245,0.055844314,1.017981887
1.462000,-0.014382572,0.054799370,1.018177986
1.482000,-0.014110687,0.053818293,1.018366814
1.502000,-0.013787461,0.052909404,1.018546462
1.522000,-0.013413614,0.052080587,1.018717885
1.542000,-0.012990184,0.051339380,1.018880844
1.562000,-0.012519198,0.050691877,1.019034028
1.582000,-0.012004555,0.050142743,1.019175887
1.602000,-0.011451663,0.049695574,1.019305348
1.622000,-0.010865105,0.049352691,1.019421577
1.642000,-0.010249208,0.049115073,1.019524574
1.662000,-0.009608845,0.048982520,1.019614577
1.682000,-0.008949249,0.048953477,1.019691825
1.702000,-0.008275951,0.049024988,1.019756794
1.722000,-0.007594663,0.049192656,1.019810438
1.742000,-0.006910708,0.049450312,1.019854188
1.762000,-0.006228692,0.049788900,1.019890189
1.782000,-0.005552529,0.050195921,1.019918323
1.802000,-0.004886395,0.050655965,1.019938350
1.822000,-0.004235876,0.051157240,1.019948363
1.842000,-0.003606583,0.051693350,1.019948006
1.862000,-0.003003022,0.052259143,1.019938588
1.882000,-0.002429490,0.052849747,1.019921422
1.902000,-0.001890221,0.053460311,1.019897223
1.922000,-0.001389197,0.054086033,1.019866586
1.942000,-0.000930083,0.054722305,1.019830108
1.962000,-0.000516494,0.055364899,1.019788861
1.982000,-0.000151808,0.056010321,1.019745111
2.002000,0.000162188,0.056654874,1.019699812
2.022000,0.000424543,0.057294793,1.019653320
2.042000,0.000632049,0.057925925,1.019603848
2.062000,0.000783221,0.058543213,1.019548416
2.082000,0.000878726,0.059142474,1.019486904
2.102000,0.000920161,0.059720047,1.019420624
2.122000,0.000911743,0.060272262,1.019350767
2.142000,0.000859498,0.060795680,1.019278526
2.162000,0.000768982,0.061287187,1.019205332
2.182000,0.000644201,0.061743978,1.019132376
2.202000,0.000488008,0.062163413,1.019060493
2.222000,0.000302488,0.062543258,1.018990397
2.242000,0.000089346,0.062881760,1.018922329
2.262000,-0.000149907,0.063177466,1.018856764
2.282000,-0.000413666,0.063429452,1.018794060
2.302000,-0.000699827,0.063636869,1.018734574
2.322000,-0.001006056,0.063798524,1.018678784
2.342000,-0.001330259,0.063913643,1.018627405
