time_s,x_m,y_m,z_m,yaw_rad
0.000000,-0.003963500,0.000000000,0.050000001,0.000000000
0.002000,-0.003663500,0.000000210,0.050000001,0.000700000
0.022000,-0.000663537,0.000013860,0.050000001,0.007700000
0.042000,0.002336257,0.000048509,0.050000001,0.014700000
0.062000,0.005335735,0.000104156,0.050000001,0.021700000
0.082000,0.008334750,0.000180797,0.050000001,0.028700000
0.102000,0.011333155,0.000278430,0.050000001,0.035699999
0.122000,0.014330803,0.000397049,0.050000001,0.042699999
0.142000,0.017327545,0.000536648,0.050000001,0.049699999
0.162000,0.020323236,0.000697221,0.050000001,0.056699999
0.182000,0.023317736,0.000878760,0.050000001,0.063699999
0.202000,0.026310887,0.001081255,0.050000001,0.070699999
0.222000,0.029302549,0.001304698,0.050000001,0.077699999
0.242000,0.032292575,0.001549076,0.050000001,0.084699999
0.262000,0.035280816,0.001814379,0.050000001,0.091699998
0.282000,0.038267128,0.002100592,0.050000001,0.098699998
0.302000,0.041251361,0.002407703,0.050000001,0.105699998
0.322000,0.044233371,0.002735695,0.050000001,0.112699998
0.342000,0.047213010,0.003084553,0.050000001,0.119699998
0.362000,0.050190132,0.003454261,0.050000001,0.126699998
0.382000,0.053164598,0.003844798,0.050000001,0.133699998
0.402000,0.056136258,0.004256147,0.050000001,0.140699998
0.422000,0.059104968,0.004688288,0.050000001,0.147699997
0.442000,0.062070578,0.005141198,0.050000001,0.154699997
0.462000,0.065032952,0.005614857,0.050000001,0.161699997
0.482000,0.067991927,0.006109240,0.050000001,0.168699997
0.502000,0.070947364,0.006624324,0.050000001,0.175699997
0.522000,0.073899135,0.007160083,0.050000001,0.182699997
0.542000,0.076847084,0.007716492,0.050000001,0.189699997
0.562000,0.079791062,0.008293523,0.050000001,0.196699997
0.582000,0.082730927,0.008891148,0.050000001,0.203699997
0.602000,0.085666537,0.009509336,0.050000001,0.210699996
0.622000,0.088597745,0.010148059,0.050000001,0.217699996
0.642000,0.091524415,0.010807285,0.050000001,0.224699996
0.662000,0.094446391,0.011486980,0.050000001,0.231699996
0.682000,0.097363546,0.012187112,0.050000001,0.238699996
0.702000,0.100275733,0.012907648,0.050000001,0.245699996
0.722000,0.103182808,0.013648551,0.050000001,0.252699996
0.742000,0.106084608,0.014409784,0.050000001,0.259699996
0.762000,0.108981021,0.015191312,0.050000001,0.266699995
0.782000,0.111871883,0.015993094,0.050000001,0.273699995
0.802000,0.114757061,0.016815094,0.050000001,0.280699995
0.822000,0.117636412,0.017657269,0.050000001,0.287699995
0.842000,0.120509796,0.018519580,0.050000001,0.294699995
0.862000,0.123377085,0.019401982,0.050000001,0.301699995
0.882000,0.126238137,0.020304434,0.050000001,0.308699995
0.902000,0.129092783,0.021226889,0.050000001,0.315699995
0.922000,0.131940901,0.022169303,0.050000001,0.322699995
0.942000,0.134782359,0.023131633,0.050000001,0.329699994
0.962000,0.137617022,0.024113830,0.050000001,0.336699994
0.982000,0.140444741,0.025115844,0.050000001,0.343699994
1.002000,0.143265367,0.026137631,0.050000001,0.350699994
1.022000,0.146078765,0.027179135,0.050000001,0.357699994
1.042000,0.148884848,0.028240306,0.050000001,0.364699994
1.062000,0.151683375,0.029321091,0.050000001,0.371699994
1.082000,0.154474288,0.030421438,0.050000001,0.378699994
1.102000,0.157257438,0.031541295,0.050000001,0.385699993
1.122000,0.160032675,0.032680612,0.050000001,0.392699993
1.142000,0.162799880,0.033839326,0.050000001,0.399699993
1.162000,0.165558890,0.035017382,0.050000001,0.406699993
1.182000,0.168309584,0.036214720,0.050000001,0.413699993
1.202000,0.171051845,0.037431289,0.050000001,0.420699993
1.222000,0.173785508,0.038667016,0.050000001,0.427699993
1.242000,0.176510453,0.039921850,0.050000001,0.434699993
1.262000,0.179226488,0.041195732,0.050000001,0.441699992
1.282000,0.181933582,0.042488594,0.050000001,0.448699992
1.302000,0.184631586,0.043800376,0.050000001,0.455699992
1.322000,0.187320352,0.045131009,0.050000001,0.462699992
1.342000,0.189999700,0.046480428,0.050000001,0.469699992
1.362000,0.192669570,0.047848567,0.050000001,0.476699992
1.382000,0.195329800,0.049235374,0.050000001,0.483699992
1.402000,0.197980240,0.050640762,0.050000001,0.490699992
1.422000,0.200620770,0.052064668,0.050000001,0.497699992
1.442000,0.203251272,0.053507019,0.050000001,0.504699991
1.462000,0.205871627,0.054967750,0.050000001,0.511699991
1.482000,0.208481640,0.056446783,0.050000001,0.518699991
1.502000,0.211081252,0.057944056,0.050000001,0.525699991
1.522000,0.213670343,0.059459489,0.050000001,0.532699991
1.542000,0.216248780,0.060993005,0.050000001,0.539699991
1.562000,0.218816414,0.062544532,0.050000001,0.546699991
1.582000,0.221373126,0.064113997,0.050000001,0.553699991
1.602000,0.223918766,0.065701321,0.050000001,0.560699990
1.622000,0.226453245,0.067306422,0.050000001,0.567699990
1.642000,0.228976414,0.068929233,0.050000001,0.574699990
1.662000,0.231488168,0.070569657,0.050000001,0.581699990
1.682000,0.233988389,0.072227634,0.050000001,0.588699990
1.702000,0.236476943,0.073903061,0.050000001,0.595699990
1.722000,0.238953665,0.075595871,0.050000001,0.602699990
1.742000,0.241418466,0.077305980,0.050000001,0.609699990
1.762000,0.243871287,0.079033285,0.050000001,0.616699989
1.782000,0.246311963,0.080777727,0.050000001,0.623699989
1.802000,0.248740360,0.082539216,0.050000001,0.630699989
1.822000,0.251156360,0.084317662,0.050000001,0.637699989
1.842000,0.253559887,0.086112976,0.050000001,0.644699989
1.862000,0.255950779,0.087925062,0.050000001,0.651699989
1.882000,0.258328915,0.089753844,0.050000001,0.658699989
1.902000,0.260694176,0.091599226,0.050000001,0.665699989
1.922000,0.263046473,0.093461119,0.050000001,0.672699989
1.942000,0.265385687,0.095339410,0.050000001,0.679699988
1.962000,0.267711699,0.097234055,0.050000001,0.686699988
1.982000,0.270024359,0.099144936,0.050000001,0.693699988
2.002000,0.272323608,0.101071954,0.050000001,0.700699988
2.022000,0.274609327,0.103015028,0.050000001,0.707699988
2.042000,0.276881367,0.104974054,0.050000001,0.714699988
2.062000,0.279139638,0.106948934,0.050000001,0.721699988
2.082000,0.281384051,0.108939573,0.050000001,0.728699988
2.102000,0.283614486,0.110945880,0.050000001,0.735699987
2.122000,0.285830796,0.112967744,0.050000001,0.742699987
2.142000,0.288032889,0.115005076,0.050000001,0.749699987
2.162000,0.290220678,0.117057770,0.050000001,0.756699987
2.182000,0.292394042,0.119125724,0.050000001,0.763699987
2.202000,0.294552892,0.121208839,0.050000001,0.770699987
2.222000,0.296697050,0.123307027,0.050000001,0.777699987
2.242000,0.298826575,0.125420168,0.050000001,0.784699987
2.262000,0.300941199,0.127548173,0.050000001,0.791699987
2.282000,0.303040922,0.129690915,0.050000001,0.798699986
2.302000,0.305125535,0.131848305,0.050000001,0.805699986
2.322000,0.307195008,0.134020239,0.050000001,0.812699986
2.342000,0.309249252,0.136206612,0.050000001,0.819699986
2.362000,0.311288118,0.138407290,0.050000001,0.826699986
2.382000,0.313311517,0.140622199,0.050000001,0.833699986
2.402000,0.315319389,0.142851219,0.050000001,0.840699986
2.422000,0.317311585,0.145094231,0.050000001,0.847699986
2.442000,0.319288045,0.147351131,0.050000001,0.854699985
2.462000,0.321248651,0.149621829,0.050000001,0.861699985
2.482000,0.323193312,0.151906177,0.050000001,0.868699985
2.502000,0.325121909,0.154204085,0.050000001,0.875699985
2.522000,0.327034414,0.156515479,0.050000001,0.882699985
2.542000,0.328930676,0.158840150,0.050000001,0.889699985
2.562000,0.330810606,0.161178038,0.050000001,0.896699985
2.582000,0.332674146,0.163529038,0.050000001,0.903699985
2.602000,0.334521174,0.165893003,0.050000001,0.910699984
2.622000,0.336351603,0.168269858,0.050000001,0.917699984
2.642000,0.338165373,0.170659482,0.050000001,0.924699984
2.662000,0.339962363,0.173061728,0.050000001,0.931699984
2.682000,0.341742516,0.175476506,0.050000001,0.938699984
2.702000,0.343505681,0.177903667,0.050000001,0.945699984
2.722000,0.345251828,0.180343121,0.050000001,0.952699984
2.742000,0.346980870,0.182794750,0.050000001,0.959699984
2.762000,0.348692685,0.185258359,0.050000001,0.966699984
2.782000,0.350387216,0.187733889,0.050000001,0.973699983
2.802000,0.352064371,0.190221280,0.050000001,0.980699983
2.822000,0.353724092,0.192720339,0.050000001,0.987699983
2.842000,0.355366260,0.195230946,0.050000001,0.994699983
2.862000,0.356990784,0.197752997,0.050000001,1.001699983
2.882000,0.358597726,0.200286359,0.050000001,1.008699983
