time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003928235,-0.000064999,1.031954527
0.042000,-0.003914720,-0.000182674,1.026025891
0.062000,-0.004360281,0.000412567,1.019445419
0.082000,-0.004880929,0.001444289,1.017151833
0.102000,-0.004434243,0.002249542,1.017880440
0.122000,-0.003070128,0.002858936,1.019734144
0.142000,-0.001165612,0.003457492,1.021284342
0.162000,0.000955596,0.004237952,1.021919966
0.182000,0.003149501,0.005288833,1.021860480
0.202000,0.005459586,0.006562388,1.021462917
0.222000,0.007960780,0.007997344,1.021021843
0.242000,0.010702989,0.009462398,1.020897865
0.262000,0.013711373,0.010932251,1.020932078
0.282000,0.016909610,0.012426867,1.020967603
0.302000,0.020218225,0.013939668,1.020963788
0.322000,0.023580857,0.015450339,1.020928264
0.342000,0.026953293,0.016938901,1.020882368
0.362000,0.030291172,0.018401451,1.020824671
0.382000,0.033547726,0.019859001,1.020816803
0.402000,0.036669061,0.021358639,1.020971894
0.422000,0.039634876,0.022934221,1.021349072
0.442000,0.042431328,0.024603613,1.021939039
0.462000,0.045047741,0.026371047,1.022698402
0.482000,0.047478370,0.028218161,1.023554444
0.502000,0.049743243,0.030105662,1.024434090
0.522000,0.051866513,0.031969149,1.025264382
0.542000,0.053867698,0.033723678,1.025963545
0.562000,0.055773929,0.035256565,1.026432872
0.582000,0.057649944,0.036391802,1.026540518
0.602000,0.059625264,0.037000727,1.026276588
0.622000,0.061774943,0.037162837,1.025938511
0.642000,0.064113297,0.036974926,1.025609612
0.662000,0.066627003,0.036518760,1.025109291
0.682000,0.069294922,0.035885520,1.024057746
0.702000,0.072131187,0.035111539,1.021865845
0.722000,0.075123511,0.034097739,1.017842531
0.742000,0.077883519,0.033629429,1.014517903
0.762000,0.080590270,0.034120385,1.013404965
0.782000,0.083362572,0.035642289,1.014132142
0.802000,0.086209618,0.037848521,1.015454173
0.822000,0.089057922,0.040416006,1.016661882
0.842000,0.091884069,0.043168638,1.017591476
0.862000,0.094719797,0.046021093,1.018291831
0.882000,0.097602338,0.048935663,1.018822670
0.902000,0.100577824,0.051891156,1.019231677
0.922000,0.103674710,0.054865047,1.019556403
0.942000,0.106890343,0.057835419,1.019820213
0.962000,0.110213980,0.060772453,1.020021319
0.982000,0.113627926,0.063653328,1.020173192
1.002000,0.117107376,0.066460766,1.020288348
1.022000,0.120625593,0.069169156,1.020396590
1.042000,0.124152407,0.071760736,1.020514607
1.062000,0.127644569,0.074230954,1.020648718
1.082000,0.131063163,0.076600775,1.020821333
1.102000,0.134362504,0.078885570,1.021063089
1.122000,0.137510866,0.081092119,1.021409273
1.142000,0.140464440,0.083249629,1.021820545
1.162000,0.143200547,0.085358545,1.022336364
1.182000,0.145704374,0.087433718,1.022984266
1.202000,0.147993103,0.089458190,1.023597002
1.222000,0.150029778,0.091466054,1.024110317
1.242000,0.151775748,0.093474917,1.024608970
1.262000,0.153235093,0.095487781,1.025107384
1.282000,0.154416278,0.097509265,1.025585175
1.302000,0.155331939,0.099541023,1.026009560
1.322000,0.156014666,0.101588488,1.026338220
1.342000,0.156484812,0.103633240,1.026553631
1.362000,0.156762093,0.105636500,1.026648045
1.382000,0.156873792,0.107549399,1.026569247
1.402000,0.156857580,0.109284170,1.026195645
1.422000,0.156785309,0.110716879,1.025343180
1.442000,0.156845137,0.111668721,1.023975730
1.462000,0.157479316,0.111987814,1.023150206
1.482000,0.158557817,0.111964434,1.022750854
1.502000,0.159856632,0.111699857,1.022052288
1.522000,0.161361217,0.111074954,1.020319343
1.542000,0.162677228,0.110417701,1.017300367
1.562000,0.163194716,0.110583566,1.015554070
1.582000,0.163390800,0.111405678,1.016239643
1.602000,0.163642913,0.112515621,1.017793536
1.622000,0.163797587,0.113791525,1.019084096
1.642000,0.163867563,0.115098029,1.019847274
1.662000,0.163951248,0.116363890,1.020157218
1.682000,0.164102033,0.117561683,1.020221114
1.702000,0.164378211,0.118650064,1.020340562
1.722000,0.164829299,0.119594224,1.020806551
1.742000,0.165366590,0.120454788,1.021484852
1.762000,0.165916309,0.121230528,1.022239089
1.782000,0.166451365,0.121911801,1.022999763
1.802000,0.166942120,0.122516662,1.023702741
1.822000,0.167346314,0.123061128,1.024301171
1.842000,0.167620242,0.123559184,1.024773002
1.862000,0.167732507,0.124022022,1.025121212
1.882000,0.167663440,0.124444947,1.025354505
1.902000,0.167406455,0.124807090,1.025419831
1.922000,0.166932642,0.125088349,1.025357842
1.942000,0.166237250,0.125256747,1.025178313
1.962000,0.165306225,0.125298023,1.024981856
1.982000,0.164136186,0.125174522,1.024840474
2.002000,0.162744954,0.124847956,1.024728894
2.022000,0.161172360,0.124271184,1.024509549
2.042000,0.159617543,0.123350628,1.024273515
2.062000,0.158340588,0.122057974,1.024144650
2.082000,0.157608211,0.120491184,1.024275064
2.102000,0.157229275,0.118822604,1.024470568
2.122000,0.157071188,0.117084660,1.024372458
2.142000,0.157109141,0.115286343,1.023526192
2.162000,0.157453626,0.113396287,1.021374941
2.182000,0.157818973,0.111556448,1.018925548
2.202000,0.157649234,0.110167548,1.018033862
2.222000,0.157189950,0.109328866,1.018197179
2.242000,0.156598091,0.109011009,1.018759847
2.262000,0.155930489,0.109098911,1.019211411
2.282000,0.155321643,0.109591134,1.019461155
2.302000,0.154893175,0.110495046,1.019537210
2.322000,0.154674128,0.111795634,1.019568682
2.342000,0.154675931,0.113488764,1.019623637
2.362000,0.154901579,0.115560956,1.019697189
2.382000,0.155340344,0.117975287,1.019770026
