time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003921720,-0.000053168,1.032013059
0.042000,-0.003916749,-0.000171658,1.026045680
0.062000,-0.004396072,0.000276140,1.019031048
0.082000,-0.005134861,0.000979916,1.017882109
0.102000,-0.004987262,0.001468471,1.019222260
0.122000,-0.004218547,0.001787627,1.020949483
0.142000,-0.003244119,0.002151134,1.022044659
0.162000,-0.002290998,0.002653080,1.022680998
0.182000,-0.001343668,0.003208695,1.023046255
0.202000,-0.000400265,0.003768947,1.023264766
0.222000,0.000537976,0.004319270,1.023412824
0.242000,0.001478853,0.004853426,1.023522377
0.262000,0.002427125,0.005369195,1.023604035
0.282000,0.003387736,0.005865410,1.023663878
0.302000,0.004364143,0.006341494,1.023708344
0.322000,0.005356746,0.006797979,1.023743510
0.342000,0.006361136,0.007236791,1.023773074
0.362000,0.007368299,0.007667935,1.023798704
0.382000,0.008367393,0.008099072,1.023820758
0.402000,0.009346918,0.008531693,1.023839474
0.422000,0.010294961,0.008965966,1.023855805
0.442000,0.011198130,0.009401890,1.023870468
0.462000,0.012040178,0.009839915,1.023883939
0.482000,0.012803893,0.010280064,1.023895621
0.502000,0.013471965,0.010721621,1.023904204
0.522000,0.014030611,0.011163385,1.023908973
0.542000,0.014476879,0.011604899,1.023910761
0.562000,0.014813871,0.012046448,1.023911238
0.582000,0.015042107,0.012488390,1.023911834
0.602000,0.015161332,0.012931161,1.023912668
0.622000,0.015169890,0.013374907,1.023913264
0.642000,0.015066978,0.013819468,1.023912907
0.662000,0.014853648,0.014264343,1.023911357
0.682000,0.014532592,0.014708616,1.023909092
0.702000,0.014108378,0.015149810,1.023906112
0.722000,0.013586477,0.015582136,1.023902059
0.742000,0.012972340,0.016000632,1.023896575
0.762000,0.012274260,0.016402170,1.023889899
0.782000,0.011500763,0.016784862,1.023882747
0.802000,0.010660495,0.017147591,1.023875475
0.822000,0.009762495,0.017489143,1.023868561
0.842000,0.008816033,0.017807476,1.023862243
0.862000,0.007830810,0.018101618,1.023856282
0.882000,0.006817196,0.018370768,1.023850441
0.902000,0.005786001,0.018614348,1.023844361
0.922000,0.004748181,0.018832052,1.023838043
0.942000,0.003714540,0.019024393,1.023831129
0.962000,0.002695703,0.019192403,1.023823857
0.982000,0.001702231,0.019337190,1.023815989
1.002000,0.000744645,0.019459730,1.023807287
1.022000,-0.000166523,0.019560969,1.023797750
1.042000,-0.001021165,0.019641967,1.023787498
1.062000,-0.001810176,0.019703733,1.023776770
1.082000,-0.002525774,0.019747173,1.023765802
1.102000,-0.003161577,0.019773124,1.023755074
1.122000,-0.003712544,0.019782500,1.023744702
1.142000,-0.004174876,0.019776320,1.023734927
1.162000,-0.004545946,0.019755729,1.023725748
1.182000,-0.004824182,0.019721871,1.023717642
1.202000,-0.005009194,0.019676184,1.023710608
1.222000,-0.005101650,0.019620322,1.023704767
1.242000,-0.005103137,0.019555978,1.023699999
1.262000,-0.005015136,0.019485125,1.023696303
1.282000,-0.004839475,0.019409709,1.023693681
1.302000,-0.004580189,0.019330937,1.023691773
1.322000,-0.004242996,0.019249424,1.023690224
1.342000,-0.003833957,0.019165613,1.023688793
1.362000,-0.003359524,0.019079991,1.023687482
1.382000,-0.002826610,0.018993322,1.023686051
1.402000,-0.002244418,0.018905727,1.023684502
1.422000,-0.001620592,0.018818270,1.023682714
1.442000,-0.000960749,0.018732606,1.023681045
1.462000,-0.000271792,0.018650331,1.023679495
1.482000,0.000441264,0.018572412,1.023677588
1.502000,0.001173426,0.018499507,1.023675203
1.522000,0.001918665,0.018432312,1.023672223
1.542000,0.002670548,0.018371198,1.023668647
1.562000,0.003422332,0.018316204,1.023664832
1.582000,0.004167365,0.018267455,1.023661017
1.602000,0.004899283,0.018225415,1.023656964
1.622000,0.005612200,0.018190509,1.023652673
1.642000,0.006300633,0.018162968,1.023648262
1.662000,0.006959558,0.018142894,1.023643494
1.682000,0.007584448,0.018130304,1.023638487
1.702000,0.008171217,0.018125139,1.023633122
1.722000,0.008716143,0.018127298,1.023627520
1.742000,0.009216136,0.018136567,1.023621798
1.762000,0.009668906,0.018152572,1.023615837
1.782000,0.010072706,0.018174946,1.023609877
1.802000,0.010426282,0.018203294,1.023604155
1.822000,0.010728918,0.018237265,1.023598552
1.842000,0.010980533,0.018276548,1.023593426
1.862000,0.011181619,0.018320799,1.023588777
1.882000,0.011333128,0.018369690,1.023584723
1.902000,0.011436420,0.018422892,1.023581266
1.922000,0.011493553,0.018480254,1.023578644
1.942000,0.011506008,0.018541448,1.023576736
1.962000,0.011475181,0.018606046,1.023575187
1.982000,0.011403210,0.018673675,1.023573756
2.002000,0.011292765,0.018743921,1.023572326
2.022000,0.011146837,0.018816315,1.023571014
2.042000,0.010968723,0.018890163,1.023569703
2.062000,0.010761977,0.018964443,1.023568273
2.082000,0.010529952,0.019038327,1.023567080
2.102000,0.010275492,0.019110916,1.023566008
2.122000,0.010001404,0.019181311,1.023564935
2.142000,0.009710913,0.019248785,1.023563623
2.162000,0.009408081,0.019312972,1.023562193
2.182000,0.009097159,0.019373732,1.023560643
2.202000,0.008782134,0.019431002,1.023559213
2.222000,0.008466187,0.019484583,1.023557782
2.242000,0.008151844,0.019534137,1.023556471
2.262000,0.007841471,0.019579362,1.023555279
2.282000,0.007537269,0.019619992,1.023554087
2.302000,0.007241136,0.019655816,1.023553014
2.322000,0.006954941,0.019686712,1.023551822
2.342000,0.006680392,0.019712588,1.023550749
2.362000,0.006419109,0.019733487,1.023549795
