time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003916462,-0.000103679,1.032029271
0.042000,-0.003871131,-0.000276062,1.026099205
0.062000,-0.004287641,0.000222357,1.019428849
0.082000,-0.004837512,0.001171324,1.018042445
0.102000,-0.004407112,0.002126762,1.019353032
0.122000,-0.003166221,0.003139048,1.021304727
0.142000,-0.001544806,0.004311089,1.022681952
0.162000,0.000168411,0.005778003,1.023052931
0.182000,0.001867685,0.007582007,1.022747517
0.202000,0.003650057,0.009560846,1.022606730
0.222000,0.005641724,0.011651739,1.022614956
0.242000,0.007805514,0.013874274,1.022608280
0.262000,0.010090406,0.016236367,1.022532225
0.282000,0.012467642,0.018723117,1.022391915
0.302000,0.014923679,0.021318587,1.022220135
0.322000,0.017445765,0.023991691,1.022022963
0.342000,0.020014882,0.026713446,1.021797419
0.362000,0.022609008,0.029468609,1.021541476
0.382000,0.025204804,0.032243650,1.021261692
0.402000,0.027781934,0.035024177,1.020968556
0.422000,0.030320866,0.037795041,1.020671010
0.442000,0.032796565,0.040539149,1.020373821
0.462000,0.035176612,0.043243181,1.020084620
0.482000,0.037443124,0.045907468,1.019845843
0.502000,0.039587431,0.048552725,1.019719362
0.522000,0.041599322,0.051191654,1.019722581
0.542000,0.043468278,0.053822838,1.019840479
0.562000,0.045186486,0.056440830,1.020028591
0.582000,0.046759475,0.059038084,1.020257354
0.602000,0.048200145,0.061599202,1.020497441
0.622000,0.049519740,0.064105563,1.020723224
0.642000,0.050728329,0.066539004,1.020922184
0.662000,0.051836770,0.068882361,1.021094918
0.682000,0.052855838,0.071121864,1.021254420
0.702000,0.053794961,0.073245868,1.021404147
0.722000,0.054662369,0.075240590,1.021533847
0.742000,0.055467825,0.077079877,1.021627188
0.762000,0.056224354,0.078751095,1.021688104
0.782000,0.056934189,0.080252051,1.021723270
0.802000,0.057593491,0.081579827,1.021747112
0.822000,0.058195915,0.082728840,1.021771193
0.842000,0.058734898,0.083692074,1.021799922
0.862000,0.059205040,0.084461026,1.021829844
0.882000,0.059602559,0.085026890,1.021850228
0.902000,0.059926122,0.085380077,1.021841526
0.922000,0.060177475,0.085510299,1.021778107
0.942000,0.060362138,0.085407041,1.021642208
0.962000,0.060487218,0.085064627,1.021414757
0.982000,0.060557835,0.084492080,1.021083474
1.002000,0.060569219,0.083707921,1.020644665
1.022000,0.060517702,0.082740925,1.020116329
1.042000,0.060351145,0.081638835,1.019553661
1.062000,0.060011979,0.080500297,1.019084096
1.082000,0.059405271,0.079684973,1.019573689
1.102000,0.058469694,0.078998707,1.020455837
1.122000,0.057199296,0.078337066,1.021238685
1.142000,0.055608213,0.077720694,1.021669269
1.162000,0.053716939,0.077144653,1.021857858
1.182000,0.051563185,0.076569296,1.021929860
1.202000,0.049203873,0.075964101,1.021941781
1.222000,0.046690691,0.075314522,1.021911621
1.242000,0.044058226,0.074608132,1.021850348
1.262000,0.041339323,0.073842421,1.021761179
1.282000,0.038564980,0.073020458,1.021633506
1.302000,0.035763323,0.072139703,1.021471262
1.322000,0.032961790,0.071196556,1.021281481
1.342000,0.030186238,0.070188880,1.021070123
1.362000,0.027460769,0.069115408,1.020842552
1.382000,0.024807803,0.067975625,1.020604253
1.402000,0.022247490,0.066770092,1.020361900
1.422000,0.019796658,0.065501615,1.020120978
1.442000,0.017469436,0.064173214,1.019886255
1.462000,0.015278098,0.062787309,1.019662142
1.482000,0.013231088,0.061389994,1.019547462
1.502000,0.011341611,0.060053505,1.019600987
1.522000,0.009608153,0.058769774,1.019683838
1.542000,0.008027200,0.057541646,1.019754887
1.562000,0.006604180,0.056379367,1.019816279
1.582000,0.005346105,0.055293646,1.019874096
1.602000,0.004257997,0.054292958,1.019930840
1.622000,0.003343004,0.053384013,1.019987106
1.642000,0.002600736,0.052572161,1.020042658
1.662000,0.002029799,0.051861189,1.020096779
1.682000,0.001628302,0.051253460,1.020149469
1.702000,0.001392893,0.050750103,1.020200372
1.722000,0.001318318,0.050350953,1.020249367
1.742000,0.001397996,0.050054811,1.020295501
1.762000,0.001624998,0.049859215,1.020338058
1.782000,0.001992750,0.049758017,1.020375848
1.802000,0.002492910,0.049742408,1.020407200
1.822000,0.003116042,0.049805000,1.020430684
1.842000,0.003851113,0.049939305,1.020446539
1.862000,0.004687563,0.050139856,1.020454645
1.882000,0.005614925,0.050402731,1.020455003
1.902000,0.006621913,0.050722573,1.020447731
1.922000,0.007697294,0.051092260,1.020433664
1.942000,0.008829567,0.051505893,1.020412087
1.962000,0.010007397,0.051955417,1.020383239
1.982000,0.011220314,0.052434247,1.020347595
2.002000,0.012458551,0.052937280,1.020305276
2.022000,0.013712439,0.053459149,1.020257831
2.042000,0.014972234,0.053994410,1.020206332
2.062000,0.016228693,0.054537583,1.020151615
2.082000,0.017473720,0.055083256,1.020094752
2.102000,0.018699262,0.055626247,1.020036459
2.122000,0.019897444,0.056161772,1.019977570
2.142000,0.021060886,0.056685492,1.019919276
2.162000,0.022181880,0.057193641,1.019863009
2.182000,0.023251940,0.057682645,1.019809723
2.202000,0.024262642,0.058149185,1.019759655
2.222000,0.025206340,0.058590449,1.019713044
2.242000,0.026076941,0.059004001,1.019670010
2.262000,0.026869779,0.059387643,1.019630909
2.282000,0.027581379,0.059739430,1.019595742
2.302000,0.028209336,0.060057666,1.019564867
2.322000,0.028752128,0.060340926,1.019538283
2.342000,0.029208606,0.060588047,1.019516110
2.362000,0.029578608,0.060798038,1.019498348
2.382000,0.029862922,0.060970183,1.019484878
