time_s,x_m,y_m,z_m,yaw_rad
0.000000,-0.003963500,0.000000000,0.050000001,0.000000000
0.002000,-0.003863500,0.000000070,0.050000001,0.000700000
0.022000,-0.002863512,0.000004620,0.050000001,0.007700000
0.042000,-0.001863581,0.000016170,0.050000001,0.014700000
0.062000,-0.000863755,0.000034719,0.050000001,0.021700000
0.082000,0.000135917,0.000060266,0.050000001,0.028700000
0.102000,0.001135385,0.000092810,0.050000001,0.035699999
0.122000,0.002134601,0.000132350,0.050000001,0.042699999
0.142000,0.003133516,0.000178883,0.050000001,0.049699999
0.162000,0.004132080,0.000232407,0.050000001,0.056699999
0.182000,0.005130245,0.000292920,0.050000001,0.063699999
0.202000,0.006127963,0.000360418,0.050000001,0.070699999
0.222000,0.007125183,0.000434899,0.050000001,0.077699999
0.242000,0.008121859,0.000516359,0.050000001,0.084699999
0.262000,0.009117939,0.000604793,0.050000001,0.091699998
0.282000,0.010113375,0.000700197,0.050000001,0.098699998
0.302000,0.011108120,0.000802567,0.050000001,0.105699998
0.322000,0.012102123,0.000911898,0.050000001,0.112699998
0.342000,0.013095338,0.001028184,0.050000001,0.119699998
0.362000,0.014087714,0.001151420,0.050000001,0.126699998
0.382000,0.015079203,0.001281599,0.050000001,0.133699998
0.402000,0.016069757,0.001418716,0.050000001,0.140699998
0.422000,0.017059326,0.001562763,0.050000001,0.147699997
0.442000,0.018047862,0.001713733,0.050000001,0.154699997
0.462000,0.019035319,0.001871619,0.050000001,0.161699997
0.482000,0.020021645,0.002036414,0.050000001,0.168699997
0.502000,0.021006797,0.002208109,0.050000001,0.175699997
0.522000,0.021990718,0.002386696,0.050000001,0.182699997
0.542000,0.022973366,0.002572165,0.050000001,0.189699997
0.562000,0.023954691,0.002764508,0.050000001,0.196699997
0.582000,0.024934646,0.002963716,0.050000001,0.203699997
0.602000,0.025913181,0.003169779,0.050000001,0.210699996
0.622000,0.026890250,0.003382687,0.050000001,0.217699996
0.642000,0.027865805,0.003602428,0.050000001,0.224699996
0.662000,0.028839799,0.003828994,0.050000001,0.231699996
0.682000,0.029812183,0.004062371,0.050000001,0.238699996
0.702000,0.030782910,0.004302550,0.050000001,0.245699996
0.722000,0.031751931,0.004549517,0.050000001,0.252699996
0.742000,0.032719199,0.004803261,0.050000001,0.259699996
0.762000,0.033684667,0.005063771,0.050000001,0.266699995
0.782000,0.034648295,0.005331032,0.050000001,0.273699995
0.802000,0.035610020,0.005605032,0.050000001,0.280699995
0.822000,0.036569808,0.005885757,0.050000001,0.287699995
0.842000,0.037527606,0.006173194,0.050000001,0.294699995
0.862000,0.038483366,0.006467328,0.050000001,0.301699995
0.882000,0.039437048,0.006768145,0.050000001,0.308699995
0.902000,0.040388599,0.007075631,0.050000001,0.315699995
0.922000,0.041337974,0.007389770,0.050000001,0.322699995
