time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003905344,-0.000061272,1.032003999
0.042000,-0.003845496,-0.000163611,1.026104212
0.062000,-0.004260493,0.000347983,1.019735217
0.082000,-0.004724388,0.001219622,1.018006086
0.102000,-0.004175149,0.001839686,1.019245863
0.122000,-0.002715835,0.002270622,1.021488190
0.142000,-0.000744697,0.002672325,1.023111463
0.162000,0.001366015,0.003199410,1.023461938
0.182000,0.003479887,0.004023822,1.023264050
0.202000,0.005748592,0.005036959,1.022899508
0.222000,0.008259224,0.006108467,1.022721052
0.242000,0.011046602,0.007163952,1.022707224
0.262000,0.014057453,0.008214528,1.022703052
0.282000,0.017232051,0.009267701,1.022656202
0.302000,0.020530270,0.010314566,1.022568226
0.322000,0.023916230,0.011343503,1.022451758
0.342000,0.027352612,0.012347508,1.022312641
0.362000,0.030804241,0.013324769,1.022152662
0.382000,0.034240186,0.014274753,1.021975160
0.402000,0.037629705,0.015201917,1.021789193
0.422000,0.040941793,0.016118445,1.021614432
0.442000,0.044151973,0.017012600,1.021506786
0.462000,0.047238793,0.017909294,1.021488070
0.482000,0.050169069,0.018840969,1.021576762
0.502000,0.052921411,0.019827208,1.021764874
0.522000,0.055491731,0.020883027,1.022048473
0.542000,0.057874791,0.022012170,1.022399545
0.562000,0.060068633,0.023211252,1.022780061
0.582000,0.062077861,0.024473734,1.023153067
0.602000,0.063907117,0.025790628,1.023490906
0.622000,0.065561779,0.027153326,1.023778558
0.642000,0.067049719,0.028555011,1.024013996
0.662000,0.068380333,0.029992066,1.024211645
0.682000,0.069560237,0.031458814,1.024391532
0.702000,0.070594616,0.032948259,1.024560571
0.722000,0.071490012,0.034453981,1.024725914
0.742000,0.072256207,0.035963669,1.024894834
0.762000,0.072904356,0.037467573,1.025053740
0.782000,0.073447973,0.038952969,1.025193453
0.802000,0.073902279,0.040401608,1.025303841
0.822000,0.074287362,0.041798696,1.025380135
0.842000,0.074620239,0.043125629,1.025413156
0.862000,0.074918643,0.044370051,1.025396824
0.882000,0.075200394,0.045523986,1.025331020
0.902000,0.075482532,0.046579883,1.025215983
0.922000,0.075781435,0.047531731,1.025048852
0.942000,0.076113015,0.048376784,1.024829626
0.962000,0.076491632,0.049113020,1.024561286
0.982000,0.076934628,0.049744878,1.024244785
1.002000,0.077455156,0.050278090,1.023886442
1.022000,0.078055575,0.050716724,1.023490906
1.042000,0.078736298,0.051068429,1.023066640
1.062000,0.079496354,0.051343784,1.022628665
1.082000,0.080327295,0.051553551,1.022194982
1.102000,0.081212729,0.051710550,1.021792173
1.122000,0.082132161,0.051826864,1.021456957
1.142000,0.083061136,0.051914971,1.021227002
1.162000,0.083978623,0.051987235,1.021108508
1.182000,0.084879324,0.052043937,1.021087766
1.202000,0.085753404,0.052080613,1.021142244
1.222000,0.086608030,0.052096710,1.021244645
1.242000,0.087465502,0.052086387,1.021362782
1.262000,0.088347048,0.052041925,1.021465659
1.282000,0.089278623,0.051954817,1.021519661
1.302000,0.090289973,0.051813412,1.021497488
1.322000,0.091413297,0.051606692,1.021395683
1.342000,0.092675976,0.051327817,1.021190882
1.362000,0.094114289,0.050984316,1.020850539
1.382000,0.095742583,0.050589513,1.020349264
1.402000,0.097564451,0.050169442,1.019686341
1.422000,0.099562705,0.049758535,1.018890142
1.442000,0.101677090,0.049387313,1.018055916
1.462000,0.103820600,0.049081493,1.017413855
1.482000,0.105913542,0.048853140,1.017117739
1.502000,0.107876435,0.048737168,1.017211914
1.522000,0.109666608,0.048768133,1.017690539
1.542000,0.111271076,0.048942026,1.018478036
1.562000,0.112697601,0.049220633,1.019450068
1.582000,0.113972098,0.049519900,1.020483017
1.602000,0.115170836,0.049704153,1.021470666
1.622000,0.116435193,0.049610227,1.022118330
1.642000,0.117961138,0.049107749,1.022256255
1.662000,0.119818285,0.048241828,1.021916747
1.682000,0.121989250,0.047122076,1.021057963
1.702000,0.124481313,0.045835581,1.019328713
1.722000,0.127315357,0.044254549,1.015937567
1.742000,0.130101025,0.043049883,1.013392329
1.762000,0.132769510,0.043246735,1.014132619
1.782000,0.135631412,0.044388738,1.016314387
1.802000,0.138582408,0.046082880,1.018383980
1.822000,0.141450569,0.048038900,1.019723415
1.842000,0.144198060,0.050071798,1.020352244
1.862000,0.146817029,0.052100182,1.020544767
1.882000,0.149307057,0.054062385,1.020604253
1.902000,0.151670843,0.055896759,1.020739555
1.922000,0.153912216,0.057569414,1.021041989
1.942000,0.156031415,0.059082653,1.021531105
1.962000,0.158025861,0.060483426,1.022226453
1.982000,0.159896895,0.061808720,1.023066521
2.002000,0.161647946,0.063083597,1.023922443
2.022000,0.163293242,0.064341038,1.024658442
2.042000,0.164837614,0.065597951,1.025188446
2.062000,0.166275159,0.066860095,1.025511742
2.082000,0.167596892,0.068127200,1.025683045
2.102000,0.168795720,0.069398142,1.025783658
2.122000,0.169864818,0.070672102,1.025895357
2.142000,0.170799732,0.071951866,1.026073813
2.162000,0.171601534,0.073241994,1.026333094
2.182000,0.172273830,0.074543849,1.026646376
2.202000,0.172819912,0.075857438,1.026965618
2.222000,0.173244908,0.077184416,1.027239442
2.242000,0.173553929,0.078526057,1.027431011
2.262000,0.173750103,0.079880476,1.027529955
2.282000,0.173836082,0.081242405,1.027552724
2.302000,0.173814520,0.082602471,1.027531862
2.322000,0.173686460,0.083950363,1.027498007
2.342000,0.173456222,0.085281394,1.027471542
2.362000,0.173130229,0.086593829,1.027460217
2.382000,0.172715560,0.087887004,1.027461529
