time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003922578,-0.000108052,1.031965971
0.042000,-0.003871570,-0.000226621,1.026117325
0.062000,-0.004274121,0.000120942,1.020073414
0.082000,-0.004609029,0.000843462,1.017992377
0.102000,-0.003899838,0.001680524,1.018941402
0.122000,-0.002173682,0.002626736,1.021304011
0.142000,0.000185135,0.003711320,1.023192883
0.162000,0.002711148,0.004932259,1.023399830
0.182000,0.005164081,0.006329841,1.022363305
0.202000,0.007751628,0.008018304,1.021422029
0.222000,0.010742326,0.009912406,1.020840526
0.242000,0.014182804,0.011957865,1.020574331
0.262000,0.018049285,0.014117836,1.020451784
0.282000,0.022268409,0.016390944,1.020308852
0.302000,0.026764782,0.018765941,1.020095110
0.322000,0.031467751,0.021221779,1.019816041
0.342000,0.036314342,0.023730271,1.019505620
0.362000,0.041253973,0.026266858,1.019140601
0.382000,0.046232395,0.028810211,1.018716574
0.402000,0.051200751,0.031340435,1.018252969
0.422000,0.056104399,0.033867575,1.017840505
0.442000,0.060888022,0.036443044,1.017633557
0.462000,0.065538399,0.039095897,1.017693758
0.482000,0.070040748,0.041829020,1.018006802
0.502000,0.074384242,0.044621646,1.018526673
0.522000,0.078581356,0.047408272,1.019148946
0.542000,0.082655571,0.050083332,1.019735694
0.562000,0.086653367,0.052490953,1.020080090
0.582000,0.090658963,0.054409791,1.020127654
0.602000,0.094728217,0.055791307,1.019990206
0.622000,0.098829433,0.056759514,1.019659042
0.642000,0.102907278,0.057379663,1.018980742
0.662000,0.106914222,0.057658102,1.017765760
0.682000,0.110795543,0.057412546,1.015895128
0.702000,0.114404127,0.056860413,1.013443708
0.722000,0.117764883,0.056883860,1.012649417
0.742000,0.121046834,0.057290923,1.013945222
0.762000,0.124285959,0.057915393,1.016815901
0.782000,0.127461061,0.058581345,1.020061255
0.802000,0.130529851,0.059408586,1.022830248
0.822000,0.133464992,0.060583178,1.024840832
0.842000,0.136266187,0.062135186,1.026348472
0.862000,0.138974071,0.064040259,1.027626872
0.882000,0.141651452,0.066274554,1.028788209
0.902000,0.144327819,0.068840079,1.029812694
0.922000,0.147013411,0.071735829,1.030544639
0.942000,0.149724141,0.074975938,1.030707002
0.962000,0.152448863,0.078613847,1.030309677
0.982000,0.155230954,0.082666323,1.029412031
1.002000,0.158132404,0.087130345,1.027995586
1.022000,0.161181524,0.092093252,1.025719166
1.042000,0.164247364,0.097821400,1.021785617
1.062000,0.167001069,0.103667684,1.018228292
1.082000,0.169672474,0.108998246,1.016784072
1.102000,0.172486603,0.113904104,1.016466737
1.122000,0.175425470,0.118562683,1.016754270
1.142000,0.178459153,0.123086661,1.017329454
1.162000,0.181569517,0.127528653,1.018018246
1.182000,0.184756428,0.131904304,1.018713832
1.202000,0.188021258,0.136222214,1.019346833
1.222000,0.191362604,0.140474901,1.019895434
1.242000,0.194774181,0.144612893,1.020498395
1.262000,0.198234320,0.148632124,1.021173477
1.282000,0.201711476,0.152507842,1.021863937
1.302000,0.205186054,0.156156883,1.022449732
1.322000,0.208670035,0.159430712,1.022817254
1.342000,0.212244079,0.162173182,1.022937655
1.362000,0.215966851,0.164380342,1.022933006
1.382000,0.219820365,0.166099682,1.022850275
1.402000,0.223759785,0.167332679,1.022741079
1.422000,0.227755636,0.168094739,1.022611976
1.442000,0.231782109,0.168429777,1.022355080
1.462000,0.235813797,0.168412879,1.021774530
1.482000,0.239889130,0.168134615,1.020626426
1.502000,0.244052157,0.167626336,1.018516898
1.522000,0.248249054,0.166896224,1.015100121
1.542000,0.252148211,0.166806370,1.013081908
1.562000,0.255924433,0.167255133,1.012560010
1.582000,0.259625196,0.168033913,1.013247967
1.602000,0.263243049,0.169145793,1.015163898
1.622000,0.266803026,0.170580819,1.017643690
1.642000,0.270364851,0.172390461,1.020198822
1.662000,0.273966312,0.174546733,1.022688031
1.682000,0.277618289,0.177031144,1.024957657
1.702000,0.281344801,0.179827750,1.026854157
1.722000,0.285125136,0.182946354,1.028336287
1.742000,0.288932145,0.186424658,1.029477239
1.762000,0.292762756,0.190277860,1.030280828
1.782000,0.296618938,0.194501862,1.030642629
1.802000,0.300524563,0.199083775,1.030430436
1.822000,0.304504782,0.204018131,1.029455304
1.842000,0.308555692,0.209416285,1.027294278
1.862000,0.312526941,0.215554073,1.023263693
1.882000,0.316093445,0.221823588,1.019467115
1.902000,0.319470614,0.227696434,1.017632961
1.922000,0.322934091,0.233274594,1.016901493
1.942000,0.326523006,0.238709763,1.016875863
1.962000,0.330220103,0.244087204,1.017433405
1.982000,0.334000319,0.249429941,1.018535852
2.002000,0.337824613,0.254806846,1.019923568
2.022000,0.341625482,0.260205835,1.021350503
2.042000,0.345364511,0.265529037,1.022606850
2.062000,0.349051058,0.270601988,1.023503542
2.082000,0.352771461,0.275237501,1.023959637
2.102000,0.356621385,0.279398084,1.024168730
2.122000,0.360611111,0.283133060,1.024259806
2.142000,0.364700943,0.286472589,1.024229884
2.162000,0.368851274,0.289447725,1.024026155
2.182000,0.373021036,0.292071402,1.023613334
2.202000,0.377165824,0.294351280,1.022967339
2.222000,0.381257772,0.296336770,1.022017360
2.242000,0.385316342,0.298086971,1.020631671
2.262000,0.389388829,0.299652696,1.018618226
2.282000,0.393511802,0.300965607,1.015772700
2.302000,0.397587061,0.302095026,1.012551308
2.322000,0.401444972,0.303841412,1.011497855
2.342000,0.405256242,0.305952936,1.011728764
2.362000,0.408982396,0.308066040,1.012755990
2.382000,0.412585199,0.310200930,1.014647126
