time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003907214,-0.000064601,1.031982422
0.042000,-0.003851132,-0.000145186,1.026143670
0.062000,-0.004251050,0.000425917,1.020031214
0.082000,-0.004624307,0.001326770,1.018061519
0.102000,-0.003993443,0.002049730,1.019127488
0.122000,-0.002402440,0.002620233,1.021505237
0.142000,-0.000224077,0.003176170,1.023375154
0.162000,0.002132242,0.003790431,1.023693919
0.182000,0.004450332,0.004622198,1.023127675
0.202000,0.006930850,0.005710566,1.022617459
0.222000,0.009750577,0.006919628,1.022246718
0.242000,0.012915664,0.008188842,1.022045135
0.262000,0.016411779,0.009470480,1.021945238
0.282000,0.020171542,0.010760881,1.021837711
0.302000,0.024124347,0.012056022,1.021690488
0.322000,0.028209826,0.013339221,1.021512389
0.342000,0.032376423,0.014590328,1.021335125
0.362000,0.036581844,0.015810246,1.021141648
0.382000,0.040782280,0.016996751,1.020929933
0.402000,0.044934738,0.018148867,1.020749688
0.422000,0.049002912,0.019292269,1.020631433
0.442000,0.052936606,0.020478712,1.020663381
0.462000,0.056707699,0.021749062,1.020885944
0.482000,0.060304459,0.023133799,1.021311164
0.502000,0.063717015,0.024648419,1.021914124
0.522000,0.066936210,0.026292298,1.022638202
0.542000,0.069963351,0.028051334,1.023417830
0.562000,0.072811306,0.029900620,1.024194837
0.582000,0.075491555,0.031806473,1.024931192
0.602000,0.078013167,0.033717021,1.025600910
0.622000,0.080387160,0.035545189,1.026174188
0.642000,0.082645945,0.037160899,1.026574612
0.662000,0.084876031,0.038355406,1.026657462
0.682000,0.087197043,0.038999632,1.026405215
0.702000,0.089648813,0.039207686,1.026023269
0.722000,0.092219725,0.039072953,1.025473475
0.742000,0.094882928,0.038689416,1.024435878
0.762000,0.097599745,0.038106658,1.022312403
0.782000,0.100369103,0.037102666,1.018531561
0.802000,0.102990106,0.036403734,1.015418530
0.822000,0.105636716,0.036603287,1.014483929
0.842000,0.108372435,0.037750848,1.015343428
0.862000,0.111206852,0.039408028,1.016664028
0.882000,0.114053763,0.041241176,1.017740369
0.902000,0.116851024,0.043109454,1.018407345
0.922000,0.119603120,0.044992272,1.018786430
0.942000,0.122337699,0.046902977,1.019059181
0.962000,0.125093669,0.048823319,1.019262671
0.982000,0.127886817,0.050737593,1.019423246
1.002000,0.130714953,0.052614041,1.019530535
1.022000,0.133562967,0.054437947,1.019592881
1.042000,0.136419982,0.056197159,1.019642949
1.062000,0.139274836,0.057873391,1.019732475
1.082000,0.142118052,0.059446979,1.019879699
1.102000,0.144941658,0.060906462,1.020082593
1.122000,0.147725537,0.062240601,1.020370603
1.142000,0.150455728,0.063451871,1.020733953
1.162000,0.153124675,0.064556234,1.021138668
1.182000,0.155724257,0.065569438,1.021546006
1.202000,0.158247307,0.066505723,1.021924138
1.222000,0.160685286,0.067376956,1.022258520
1.242000,0.163026512,0.068194903,1.022559762
1.262000,0.165259123,0.068966769,1.022848845
1.282000,0.167375222,0.069698028,1.023141026
1.302000,0.169369623,0.070393391,1.023444414
1.322000,0.171238333,0.071057536,1.023761272
1.342000,0.172978073,0.071696781,1.024089098
1.362000,0.174586460,0.072318427,1.024421811
1.382000,0.176062539,0.072929367,1.024752617
1.402000,0.177406505,0.073535994,1.025075674
1.422000,0.178619072,0.074144349,1.025388002
1.442000,0.179701179,0.074759915,1.025689483
1.462000,0.180653885,0.075387523,1.025982261
1.482000,0.181477949,0.076031499,1.026269436
1.502000,0.182172656,0.076694958,1.026553988
1.522000,0.182737142,0.077382542,1.026835084
1.542000,0.183172554,0.078101233,1.027106404
1.562000,0.183484808,0.078861080,1.027356982
1.582000,0.183676839,0.079669803,1.027572513
1.602000,0.183745772,0.080537811,1.027734518
1.622000,0.183690071,0.081479520,1.027820826
1.642000,0.183511332,0.082508907,1.027813554
1.662000,0.183212116,0.083620459,1.027661681
1.682000,0.182782233,0.084816560,1.027387142
1.702000,0.182200640,0.086089157,1.027051449
1.722000,0.181460932,0.087432444,1.026786804
1.742000,0.180554062,0.088820443,1.026681185
1.762000,0.179492265,0.090232931,1.026751876
1.782000,0.178295225,0.091641396,1.026948094
1.802000,0.176985234,0.093001992,1.027187228
1.822000,0.175585195,0.094259672,1.027368903
1.842000,0.174118608,0.095357560,1.027382970
1.862000,0.172622591,0.096225701,1.027064085
1.882000,0.171144918,0.096774362,1.026229143
1.902000,0.169816613,0.096841000,1.024801135
1.922000,0.168942109,0.096202075,1.023320913
1.942000,0.168756709,0.094885945,1.022858143
1.962000,0.168961897,0.093232617,1.022504687
1.982000,0.169402048,0.091172360,1.021581054
2.002000,0.170026422,0.088598728,1.019234776
2.022000,0.170112729,0.086442478,1.016902447
2.042000,0.169838622,0.084936559,1.015998125
2.062000,0.169532970,0.084068842,1.016787410
2.082000,0.169367328,0.083617017,1.017934799
2.102000,0.169385776,0.083359480,1.018791914
2.122000,0.169597521,0.083215676,1.019292235
2.142000,0.170020208,0.083187997,1.019549131
2.162000,0.170671523,0.083290264,1.019654512
2.182000,0.171563745,0.083538987,1.019665599
2.202000,0.172695145,0.083950356,1.019617319
2.222000,0.174048558,0.084530815,1.019524336
2.242000,0.175607368,0.085279226,1.019397140
2.262000,0.177349314,0.086190030,1.019254923
2.282000,0.179239824,0.087261468,1.019107938
2.302000,0.181199923,0.088527985,1.019081950
2.322000,0.183205143,0.089970119,1.019153953
2.342000,0.185229138,0.091564536,1.019271612
2.362000,0.187242344,0.093281016,1.019409895
2.382000,0.189222440,0.095091380,1.019581437
