time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003892174,0.000005651,1.031781435
0.042000,-0.003694556,0.000004957,1.026117563
0.062000,-0.003880078,0.000015387,1.021792650
0.082000,-0.003638153,0.000048475,1.020013928
0.102000,-0.002366327,0.000104946,1.020797849
0.122000,0.000000444,0.000170214,1.022997499
0.142000,0.002998346,0.000232628,1.024696112
0.162000,0.006003306,0.000280595,1.024874091
0.182000,0.008872475,0.000312636,1.023873687
0.202000,0.011933560,0.000326694,1.022619963
0.222000,0.015552079,0.000319671,1.021756172
0.242000,0.019883698,0.000292029,1.021329999
0.262000,0.024881339,0.000242786,1.020996690
0.282000,0.030407522,0.000177762,1.020392179
0.302000,0.036386002,0.000099486,1.019366264
0.322000,0.042833503,0.000007564,1.018000245
0.342000,0.049864415,-0.000094742,1.016446590
0.362000,0.057591088,-0.000205491,1.014790297
0.382000,0.066069439,-0.000323475,1.012994766
0.402000,0.075295754,-0.000446722,1.010941744
0.422000,0.085279994,-0.000588277,1.008933187
0.442000,0.096024714,-0.000735704,1.007322550
0.462000,0.107328884,-0.000870885,1.005894065
0.482000,0.118883640,-0.000978946,1.004379869
0.502000,0.130357057,-0.001089773,1.003061771
0.522000,0.141569376,-0.001209812,1.002683997
0.542000,0.152625307,-0.001216751,1.003371477
0.562000,0.163935408,-0.000973369,1.003928423
0.582000,0.175916404,-0.000534855,1.003368497
0.602000,0.188441426,0.000173741,1.001977205
0.622000,0.201144636,0.001340654,1.000350833
0.642000,0.213889942,0.003056171,0.998891294
0.662000,0.226619497,0.005478890,0.998046875
0.682000,0.239070117,0.008743078,0.997835338
0.702000,0.251127213,0.011873549,0.999757707
0.722000,0.262949944,0.014151542,1.003663898
0.742000,0.274831802,0.015722835,1.007985830
0.762000,0.286715239,0.017032981,1.012028813
0.782000,0.298476279,0.018292334,1.015395999
0.802000,0.310058773,0.019568002,1.017910480
0.822000,0.321449846,0.020817813,1.019594908
0.842000,0.332660317,0.021992231,1.020466447
0.862000,0.343714714,0.023033528,1.020499349
0.882000,0.354671896,0.023911262,1.019732714
0.902000,0.365654111,0.024592333,1.018244267
0.922000,0.376780242,0.025003301,1.016128063
0.942000,0.388042182,0.024943518,1.013419271
0.962000,0.399305016,0.024088034,1.009839654
0.982000,0.410383701,0.022872899,1.006589890
1.002000,0.421297640,0.021757681,1.005642056
1.022000,0.432138681,0.020619933,1.006219149
1.042000,0.442995846,0.019724665,1.007824898
1.062000,0.453845620,0.019349487,1.009981871
1.082000,0.464653730,0.019355109,1.012053132
1.102000,0.475502074,0.019560203,1.013771772
1.122000,0.486451417,0.019978913,1.015219927
1.142000,0.497499764,0.020672144,1.016423464
1.162000,0.508659482,0.021683481,1.017339230
1.182000,0.519946992,0.023050519,1.017896771
1.202000,0.531372905,0.024801701,1.018026233
1.222000,0.542962670,0.026937798,1.017694235
1.242000,0.554790735,0.029425308,1.016856790
1.262000,0.566866636,0.032322560,1.015159369
1.282000,0.579064727,0.035957579,1.011589170
1.302000,0.590917110,0.039892763,1.007372618
1.322000,0.602269232,0.043554239,1.005273581
1.342000,0.613304734,0.047201909,1.004896045
1.362000,0.624175072,0.050627884,1.005893946
1.382000,0.635006368,0.053572658,1.007841349
1.402000,0.645853996,0.055928487,1.010009408
1.422000,0.656768024,0.057720337,1.012062550
1.442000,0.667774260,0.059012756,1.013878226
1.462000,0.678842604,0.059807748,1.015418172
1.482000,0.689948916,0.060072057,1.016762137
1.502000,0.701097250,0.059785474,1.017997146
1.522000,0.712293029,0.058950469,1.019127727
1.542000,0.723532140,0.057588656,1.020083785
1.562000,0.734823346,0.055744212,1.020763755
1.582000,0.746186793,0.053479049,1.021014214
1.602000,0.757662952,0.050858069,1.020652056
1.622000,0.769292712,0.047932543,1.019409180
1.642000,0.781042993,0.044626094,1.016710162
1.662000,0.792684674,0.040745161,1.011962056
1.682000,0.803604186,0.037177335,1.008545637
1.702000,0.813915014,0.033686884,1.007437348
1.722000,0.823977411,0.030235054,1.007675171
1.742000,0.834015012,0.027198000,1.008949280
1.762000,0.844166875,0.024665752,1.010589004
1.782000,0.854474068,0.022573734,1.012212634
1.802000,0.864952922,0.020835016,1.013699174
1.822000,0.875601947,0.019433279,1.014999986
1.842000,0.886385977,0.018405454,1.016177893
1.862000,0.897275150,0.017764864,1.017319798
1.882000,0.908261538,0.017510330,1.018411398
1.902000,0.919339657,0.017624287,1.019336343
1.922000,0.930511832,0.018069707,1.019956350
1.942000,0.941783965,0.018805642,1.020127773
1.962000,0.953180075,0.019803235,1.019739032
1.982000,0.964761734,0.021035897,1.018629909
2.002000,0.976533890,0.022566909,1.016424656
2.022000,0.988348067,0.024668159,1.012393951
2.042000,0.999700248,0.026808007,1.008446455
2.062000,1.010451794,0.028891109,1.006879449
2.082000,1.020856857,0.031204002,1.007014036
2.102000,1.031162262,0.033421438,1.008126497
2.122000,1.041507006,0.035204049,1.009771585
2.142000,1.051919937,0.036525249,1.011367321
2.162000,1.062436938,0.037501778,1.012792587
2.182000,1.073069930,0.038147379,1.014125824
2.202000,1.083809495,0.038433962,1.015475035
2.222000,1.094652295,0.038349539,1.016868234
2.242000,1.105601311,0.037894137,1.018247843
2.262000,1.116645455,0.037074573,1.019470572
2.282000,1.127784252,0.035913132,1.020367146
2.302000,1.139022946,0.034438517,1.020787597
2.322000,1.150382876,0.032674178,1.020609617
2.342000,1.161920309,0.030643318,1.019660830
2.362000,1.173621655,0.028281765,1.017562628
2.382000,1.185346961,0.025321485,1.013557076
