time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003867924,-0.000110098,1.032027364
0.042000,-0.003726475,-0.000297453,1.026071072
0.062000,-0.004005704,0.000337514,1.019374251
0.082000,-0.004446874,0.001399160,1.018136263
0.102000,-0.003974614,0.002421135,1.019510388
0.122000,-0.002738839,0.003482213,1.021304965
0.142000,-0.001154104,0.004737405,1.022542953
0.162000,0.000514187,0.006334272,1.022937059
0.182000,0.002178625,0.008233970,1.022841811
0.202000,0.003922435,0.010248114,1.022846580
0.222000,0.005813239,0.012384845,1.022860408
0.242000,0.007821972,0.014660153,1.022812605
0.262000,0.009913692,0.017069204,1.022698998
0.282000,0.012071467,0.019599916,1.022537470
0.302000,0.014287927,0.022238577,1.022348881
0.322000,0.016553594,0.024963599,1.022128344
0.342000,0.018855691,0.027755285,1.021875739
0.362000,0.021181354,0.030588713,1.021594644
0.382000,0.023516679,0.033441685,1.021299839
0.402000,0.025844218,0.036302906,1.020994186
0.422000,0.028142016,0.039159976,1.020680666
0.442000,0.030387623,0.041997712,1.020363569
0.462000,0.032558717,0.044802200,1.020049334
0.482000,0.034628727,0.047564257,1.019748330
0.502000,0.036587927,0.050276116,1.019479513
0.522000,0.038424730,0.052951485,1.019301891
0.542000,0.040129185,0.055607978,1.019243121
0.562000,0.041696113,0.058247350,1.019289613
0.582000,0.043124005,0.060865279,1.019411922
0.602000,0.044420410,0.063452117,1.019569278
0.622000,0.045597095,0.065996796,1.019736528
0.642000,0.046666544,0.068485484,1.019896626
0.662000,0.047638528,0.070903078,1.020044088
0.682000,0.048524369,0.073234543,1.020183206
0.702000,0.049337741,0.075461209,1.020315170
0.722000,0.050089668,0.077569410,1.020438194
0.742000,0.050789103,0.079551831,1.020550489
0.762000,0.051443845,0.081402414,1.020646572
0.782000,0.052062735,0.083110623,1.020721197
0.802000,0.052651089,0.084673181,1.020777345
0.822000,0.053207964,0.086087562,1.020822287
0.842000,0.053730521,0.087352432,1.020866275
0.862000,0.054214578,0.088465624,1.020916104
0.882000,0.054654825,0.089424379,1.020975709
0.902000,0.055045564,0.090225242,1.021043897
0.922000,0.055381939,0.090863764,1.021113992
0.942000,0.055661026,0.091334924,1.021173358
0.962000,0.055881836,0.091633253,1.021204829
0.982000,0.056044918,0.091753475,1.021188736
1.002000,0.056152560,0.091691546,1.021110177
1.022000,0.056209385,0.091446012,1.020962238
1.042000,0.056217104,0.091021307,1.020739913
1.062000,0.056166321,0.090429761,1.020434618
1.082000,0.056053001,0.089692093,1.020056367
1.102000,0.055843327,0.088837765,1.019642949
1.122000,0.055493172,0.087906249,1.019196153
1.142000,0.054956477,0.086945787,1.018837690
1.162000,0.054145288,0.086223699,1.019170046
1.182000,0.053035654,0.085605755,1.019714713
1.202000,0.051627181,0.085016638,1.020184755
1.222000,0.049953874,0.084422991,1.020520687
1.242000,0.048056442,0.083778523,1.020670295
1.262000,0.045968462,0.083089650,1.020731807
1.282000,0.043718256,0.082373746,1.020775318
1.302000,0.041342210,0.081619672,1.020798564
1.322000,0.038878292,0.080829352,1.020787835
1.342000,0.036357544,0.080002442,1.020740986
1.362000,0.033807404,0.079137228,1.020661116
1.382000,0.031253804,0.078231223,1.020551920
1.402000,0.028721306,0.077282846,1.020416498
1.422000,0.026232870,0.076291524,1.020257950
1.442000,0.023809316,0.075257108,1.020080805
1.462000,0.021469308,0.074179627,1.019890308
1.482000,0.019229410,0.073060311,1.019692063
1.502000,0.017103951,0.071899846,1.019491076
1.522000,0.015105164,0.070698231,1.019292474
1.542000,0.013243156,0.069455028,1.019100428
1.562000,0.011526254,0.068169303,1.018918276
1.582000,0.009961375,0.066839956,1.018748760
1.602000,0.008554263,0.065466069,1.018592596
1.622000,0.007309367,0.064047456,1.018447876
1.642000,0.006229177,0.062588222,1.018320918
1.662000,0.005311039,0.061154041,1.018329382
1.682000,0.004557429,0.059772935,1.018435359
1.702000,0.003965562,0.058446314,1.018568754
1.722000,0.003530904,0.057179641,1.018705010
1.742000,0.003248227,0.055980977,1.018838882
1.762000,0.003112627,0.054857962,1.018969893
1.782000,0.003119798,0.053816970,1.019097924
1.802000,0.003264460,0.052863110,1.019222140
1.822000,0.003540315,0.051999971,1.019341469
1.842000,0.003940702,0.051229663,1.019454837
1.862000,0.004458526,0.050553154,1.019561529
1.882000,0.005086116,0.049970552,1.019660711
1.902000,0.005815190,0.049481735,1.019751787
1.922000,0.006635844,0.049085233,1.019834518
1.942000,0.007538258,0.048777670,1.019907832
1.962000,0.008512618,0.048554309,1.019970179
1.982000,0.009548444,0.048410095,1.020020723
2.002000,0.010635706,0.048341412,1.020058155
2.022000,0.011764443,0.048344910,1.020081997
2.042000,0.012924774,0.048416823,1.020092726
2.062000,0.014107300,0.048554912,1.020090580
2.082000,0.015302620,0.048757020,1.020076275
2.102000,0.016501263,0.049019821,1.020051956
2.122000,0.017693289,0.049335685,1.020020127
2.142000,0.018870991,0.049693733,1.019981980
2.162000,0.020027233,0.050082996,1.019937634
2.182000,0.021154108,0.050496276,1.019888043
2.202000,0.022243533,0.050929155,1.019834876
2.222000,0.023287687,0.051377583,1.019779682
2.242000,0.024279187,0.051837627,1.019723654
2.262000,0.025211222,0.052305460,1.019667745
2.282000,0.026077626,0.052777451,1.019612908
2.302000,0.026872894,0.053250328,1.019559741
2.322000,0.027592240,0.053720921,1.019508839
2.342000,0.028231651,0.054186113,1.019460678
2.362000,0.028787751,0.054643262,1.019416213
2.382000,0.029256839,0.055089898,1.019375324
