time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003854295,-0.000056615,1.032021165
0.042000,-0.003695721,-0.000172608,1.026035547
0.062000,-0.004018961,0.000257558,1.019266725
0.082000,-0.004531648,0.000973272,1.018260956
0.102000,-0.004053337,0.001400535,1.019800782
0.122000,-0.002796296,0.001611064,1.021758318
0.142000,-0.001170409,0.001846815,1.023128748
0.162000,0.000561805,0.002287715,1.023650289
0.182000,0.002317893,0.002925032,1.023610473
0.202000,0.004168911,0.003573197,1.023646235
0.222000,0.006187848,0.004201458,1.023759246
0.242000,0.008340328,0.004826104,1.023846745
0.262000,0.010581964,0.005452469,1.023880839
0.282000,0.012891326,0.006077976,1.023870826
0.302000,0.015259786,0.006698767,1.023831844
0.322000,0.017679702,0.007312086,1.023774862
0.342000,0.020137524,0.007917405,1.023705602
0.362000,0.022616128,0.008515871,1.023627639
0.382000,0.025096167,0.009109014,1.023543239
0.402000,0.027556660,0.009702172,1.023454309
0.422000,0.029975196,0.010302140,1.023361444
0.442000,0.032328364,0.010912827,1.023265123
0.462000,0.034594625,0.011537735,1.023171425
0.482000,0.036754847,0.012180211,1.023088694
0.502000,0.038791046,0.012840371,1.023018837
0.522000,0.040686604,0.013526632,1.022979021
0.542000,0.042428833,0.014229502,1.022930861
0.562000,0.043995388,0.014911097,1.022825003
0.582000,0.045360692,0.015578353,1.022746563
0.602000,0.046510469,0.016244223,1.022730947
0.622000,0.047441736,0.016908364,1.022761464
0.642000,0.048159871,0.017562322,1.022806525
0.662000,0.048680916,0.018195786,1.022840858
0.682000,0.049024623,0.018792402,1.022844195
0.702000,0.049208567,0.019337142,1.022800803
0.722000,0.049250688,0.019819481,1.022697449
0.742000,0.049171947,0.020226967,1.022541761
0.762000,0.048990313,0.020548176,1.022349954
0.782000,0.048722018,0.020773064,1.022130489
0.802000,0.048384376,0.020889614,1.021888733
0.822000,0.047991801,0.020888614,1.021628261
0.842000,0.047555421,0.020762084,1.021350503
0.862000,0.047086064,0.020502619,1.021055937
0.882000,0.046591625,0.020102372,1.020749569
0.902000,0.046078622,0.019551316,1.020441651
0.922000,0.045552723,0.018841298,1.020139337
0.942000,0.045018006,0.017966172,1.019845963
0.962000,0.044476558,0.016921269,1.019561648
0.982000,0.043927513,0.015701378,1.019285798
1.002000,0.043367043,0.014301375,1.019016504
1.022000,0.042772170,0.012804640,1.018941164
1.042000,0.042158142,0.011290582,1.019114375
1.062000,0.041565042,0.009751889,1.019355416
1.082000,0.041008282,0.008199706,1.019590259
1.102000,0.040491916,0.006652289,1.019805074
1.122000,0.040016536,0.005127936,1.020004272
1.142000,0.039583422,0.003643923,1.020196080
1.162000,0.039197274,0.002214507,1.020382166
1.182000,0.038865723,0.000847647,1.020550370
1.202000,0.038598176,-0.000445765,1.020698547
1.222000,0.038403764,-0.001655648,1.020827532
1.242000,0.038289297,-0.002774321,1.020938993
1.262000,0.038258653,-0.003796393,1.021033883
1.282000,0.038312122,-0.004718707,1.021112800
1.302000,0.038450692,-0.005538939,1.021175861
1.322000,0.038674027,-0.006258028,1.021223068
1.342000,0.038980111,-0.006881548,1.021255136
1.362000,0.039365187,-0.007415197,1.021272302
1.382000,0.039820749,-0.007863706,1.021273732
1.402000,0.040342845,-0.008228217,1.021262884
1.422000,0.040929176,-0.008511982,1.021244526
1.442000,0.041574091,-0.008718903,1.021221638
1.462000,0.042267907,-0.008852766,1.021195412
1.482000,0.043001130,-0.008918707,1.021165967
1.502000,0.043762974,-0.008923016,1.021133542
1.522000,0.044542391,-0.008871268,1.021097660
1.542000,0.045329288,-0.008770117,1.021059513
1.562000,0.046114095,-0.008627286,1.021017551
1.582000,0.046888307,-0.008450948,1.020971775
1.602000,0.047644373,-0.008248673,1.020922661
1.622000,0.048375085,-0.008027451,1.020871639
1.642000,0.049073447,-0.007792939,1.020819426
1.662000,0.049733005,-0.007549522,1.020767093
1.682000,0.050348140,-0.007301056,1.020715356
1.702000,0.050914045,-0.007051046,1.020665169
1.722000,0.051426921,-0.006802613,1.020617127
1.742000,0.051883873,-0.006558600,1.020571828
1.762000,0.052282881,-0.006321570,1.020529747
1.782000,0.052622575,-0.006093754,1.020491481
1.802000,0.052901722,-0.005877303,1.020457387
1.822000,0.053119726,-0.005674038,1.020427465
1.842000,0.053276736,-0.005485311,1.020402312
1.862000,0.053373471,-0.005312074,1.020381927
1.882000,0.053411078,-0.005154954,1.020366311
1.902000,0.053391121,-0.005014300,1.020355701
1.922000,0.053315733,-0.004890329,1.020349860
1.942000,0.053187635,-0.004782401,1.020347714
1.962000,0.053009927,-0.004688601,1.020348430
1.982000,0.052785113,-0.004607634,1.020351529
2.002000,0.052516002,-0.004538332,1.020357132
2.022000,0.052206196,-0.004479526,1.020365357
2.042000,0.051859763,-0.004430188,1.020376086
2.062000,0.051481031,-0.004389243,1.020388842
2.082000,0.051074389,-0.004355586,1.020403743
2.102000,0.050644271,-0.004328414,1.020420194
2.122000,0.050195325,-0.004306781,1.020438194
2.142000,0.049732197,-0.004289639,1.020457387
2.162000,0.049259275,-0.004275907,1.020477414
2.182000,0.048780806,-0.004264456,1.020498157
2.202000,0.048301198,-0.004255163,1.020520329
2.222000,0.047824599,-0.004247755,1.020544052
2.242000,0.047354881,-0.004241555,1.020568848
2.262000,0.046895608,-0.004235643,1.020594358
2.282000,0.046450090,-0.004229047,1.020620108
2.302000,0.046021309,-0.004220861,1.020645738
2.322000,0.045611952,-0.004210271,1.020670772
2.342000,0.045224406,-0.004196599,1.020695090
