time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003916451,0.000007554,1.031775951
0.042000,-0.003786502,0.000010935,1.026099443
0.062000,-0.004054205,0.000014071,1.021501184
0.082000,-0.003951057,0.000026911,1.019202352
0.102000,-0.002899782,0.000051695,1.019286394
0.122000,-0.000854546,0.000088373,1.020818591
0.142000,0.001843226,0.000129467,1.022195935
0.162000,0.004705389,0.000162817,1.022411466
0.182000,0.007549196,0.000184370,1.021502852
0.202000,0.010574332,0.000189886,1.020141244
0.222000,0.014079671,0.000179622,1.018891335
0.242000,0.018231040,0.000149794,1.017937779
0.262000,0.023067046,0.000097761,1.017156959
0.282000,0.028526288,0.000025171,1.016303301
0.302000,0.034540765,-0.000069799,1.015142560
0.322000,0.041107666,-0.000187502,1.013581514
0.342000,0.048273835,-0.000332407,1.011683345
0.362000,0.056101430,-0.000507736,1.009706616
0.382000,0.064645201,-0.000723646,1.008159995
0.402000,0.073842354,-0.000988438,1.006918669
0.422000,0.083486579,-0.001310615,1.005759120
0.442000,0.093336083,-0.001671547,1.004413962
0.462000,0.103099369,-0.002067377,1.003021717
0.482000,0.112580478,-0.002476951,1.002270818
0.502000,0.121798664,-0.002872588,1.002556682
0.522000,0.130996704,-0.003107860,1.003221869
0.542000,0.140537813,-0.003059434,1.003109694
0.562000,0.150520697,-0.002650827,1.002109528
0.582000,0.160628691,-0.001537521,1.001284122
0.602000,0.170768350,0.000293030,1.001119852
0.622000,0.180898279,0.002767784,1.001403213
0.642000,0.190847918,0.006073929,1.001793742
0.662000,0.200228527,0.009739265,1.002465248
0.682000,0.209065899,0.012930791,1.004376531
0.702000,0.217711434,0.015337997,1.006932497
0.722000,0.226433799,0.017062677,1.009685636
0.742000,0.235209882,0.018423574,1.012315154
0.762000,0.243995905,0.019590022,1.014557600
0.782000,0.252790570,0.020610323,1.016364217
0.802000,0.261602342,0.021486260,1.017792821
0.822000,0.270442098,0.022217870,1.018843889
0.842000,0.279328644,0.022801464,1.019432425
0.862000,0.288292259,0.023223821,1.019480109
0.882000,0.297360778,0.023485234,1.018943429
0.902000,0.306582659,0.023584373,1.017798781
0.922000,0.316029280,0.023463512,1.016140223
0.942000,0.325762630,0.023025118,1.014040112
0.962000,0.335707068,0.022126410,1.011091948
0.982000,0.345591903,0.020605270,1.007228971
1.002000,0.355125099,0.019069470,1.005325794
1.022000,0.364360392,0.017302394,1.005676031
1.042000,0.373463839,0.015477518,1.007355571
1.062000,0.382509559,0.014037658,1.009758711
1.082000,0.391530186,0.013103996,1.012040377
1.102000,0.400578916,0.012561369,1.014152050
1.122000,0.409724653,0.012317767,1.016186357
1.142000,0.419048131,0.012365503,1.017954707
1.162000,0.428543627,0.012752620,1.019373417
1.182000,0.438199192,0.013509960,1.020390272
1.202000,0.448017269,0.014660785,1.020927310
1.222000,0.457998455,0.016210685,1.020946860
1.242000,0.468182087,0.018151885,1.020426154
1.262000,0.478610545,0.020466277,1.019304752
1.282000,0.489278316,0.023258224,1.017160416
1.302000,0.500013351,0.026768604,1.013055325
1.322000,0.510231018,0.030127190,1.009538412
1.342000,0.519952536,0.033301942,1.007931352
1.362000,0.529399097,0.036519155,1.007447958
1.382000,0.538731813,0.039423551,1.007831097
1.402000,0.548081815,0.041714385,1.008877516
1.422000,0.557498753,0.043337751,1.010140896
1.442000,0.567002535,0.044422440,1.011456966
1.462000,0.576608598,0.045014445,1.012726307
1.482000,0.586295307,0.045096766,1.013973236
1.502000,0.596040130,0.044659905,1.015272856
1.522000,0.605857134,0.043711390,1.016623735
1.542000,0.615752041,0.042271029,1.017940402
1.562000,0.625728548,0.040376626,1.019101977
1.582000,0.635807157,0.038079072,1.019955993
1.602000,0.646021783,0.035434112,1.020311475
1.622000,0.656435847,0.032493152,1.019947171
1.642000,0.667063177,0.029235112,1.018471003
1.662000,0.677816451,0.025454557,1.015099764
1.682000,0.688257635,0.021498967,1.010762334
1.702000,0.698023915,0.017822409,1.008492947
1.722000,0.707325518,0.014037834,1.007880569
1.742000,0.716453195,0.010333975,1.008134007
1.762000,0.725614429,0.007161004,1.009125113
1.782000,0.734902978,0.004572726,1.010355592
1.802000,0.744358659,0.002427161,1.011649013
1.822000,0.754007876,0.000670165,1.012898684
1.842000,0.763836384,-0.000697181,1.014058471
1.862000,0.773814499,-0.001662153,1.015150070
1.882000,0.783912659,-0.002213467,1.016234040
1.902000,0.794114709,-0.002350684,1.017300606
1.922000,0.804418504,-0.002093169,1.018254399
1.942000,0.814831674,-0.001481824,1.018970847
1.962000,0.825364888,-0.000557619,1.019310832
1.982000,0.836050868,0.000650262,1.019134045
2.002000,0.846935213,0.002124449,1.018250108
2.022000,0.858001351,0.003936969,1.016237855
2.042000,0.869090676,0.006342988,1.012295365
2.062000,0.879651666,0.008738017,1.008572221
2.082000,0.889576793,0.011109306,1.007072687
2.102000,0.899146557,0.013677191,1.006973624
2.122000,0.908578813,0.016031576,1.007820249
2.142000,0.918011189,0.017867744,1.009187460
2.162000,0.927488923,0.019201729,1.010577321
2.182000,0.937038183,0.020163316,1.011905432
2.202000,0.946667135,0.020752741,1.013252258
2.222000,0.956372917,0.020947156,1.014704466
2.242000,0.966158032,0.020744879,1.016259670
2.262000,0.976028860,0.020146893,1.017831922
2.282000,0.985983014,0.019161617,1.019266725
2.302000,0.996026635,0.017811555,1.020400286
2.322000,1.006171703,0.016124561,1.021083593
2.342000,1.016452074,0.014122006,1.021174431
2.362000,1.026920438,0.011819547,1.020497680
2.382000,1.037572145,0.009146816,1.018672705
