time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003878200,-0.000055268,1.032017112
0.042000,-0.003790431,-0.000170862,1.026046753
0.062000,-0.004177271,0.000319237,1.019030333
0.082000,-0.004806421,0.001093475,1.017817736
0.102000,-0.004502110,0.001582688,1.019253969
0.122000,-0.003490971,0.001863787,1.021140695
0.142000,-0.002194744,0.002180508,1.022377729
0.162000,-0.000869568,0.002714943,1.022813797
0.182000,0.000464568,0.003362924,1.023045182
0.202000,0.001877141,0.004011794,1.023235917
0.222000,0.003339489,0.004653703,1.023378372
0.242000,0.004826682,0.005287253,1.023473024
0.262000,0.006330958,0.005904920,1.023534298
0.282000,0.007849752,0.006501580,1.023575306
0.302000,0.009381932,0.007076229,1.023602962
0.322000,0.010922952,0.007630318,1.023620605
0.342000,0.012464002,0.008164588,1.023630977
0.362000,0.013993005,0.008682203,1.023636103
0.382000,0.015495647,0.009195508,1.023637533
0.402000,0.016957808,0.009710156,1.023635864
0.422000,0.018363666,0.010226957,1.023632288
0.442000,0.019697908,0.010746547,1.023627281
0.462000,0.020946587,0.011269196,1.023621559
0.482000,0.022096023,0.011794634,1.023614883
0.502000,0.023127945,0.012321625,1.023607492
0.522000,0.024022520,0.012848537,1.023599744
0.542000,0.024770703,0.013374849,1.023591757
0.562000,0.025371907,0.013900865,1.023584843
0.582000,0.025826061,0.014427044,1.023580313
0.602000,0.026132206,0.014953854,1.023578882
0.622000,0.026288962,0.015481135,1.023580670
0.642000,0.026295591,0.016008420,1.023584962
0.662000,0.026153089,0.016534820,1.023590684
0.682000,0.025865473,0.017057879,1.023596525
0.702000,0.025438961,0.017573850,1.023602366
0.722000,0.024881361,0.018079201,1.023608327
0.742000,0.024200901,0.018569842,1.023614287
0.762000,0.023406627,0.019042792,1.023620009
0.782000,0.022509407,0.019496361,1.023625970
0.802000,0.021520959,0.019929973,1.023632407
0.822000,0.020453710,0.020343212,1.023639441
0.842000,0.019320574,0.020734940,1.023647428
0.862000,0.018133657,0.021103639,1.023656607
0.882000,0.016905898,0.021448014,1.023666501
0.902000,0.015650725,0.021766743,1.023676634
0.922000,0.014381732,0.022058865,1.023686528
0.942000,0.013112527,0.022323985,1.023695707
0.962000,0.011856432,0.022562047,1.023703575
0.982000,0.010626283,0.022773048,1.023709774
1.002000,0.009434441,0.022957077,1.023713589
1.022000,0.008292719,0.023114292,1.023715496
1.042000,0.007212133,0.023246164,1.023715615
1.062000,0.006203161,0.023354866,1.023714304
1.082000,0.005275495,0.023442229,1.023711801
1.102000,0.004437592,0.023509838,1.023708224
1.122000,0.003696483,0.023559004,1.023703814
1.142000,0.003057729,0.023590829,1.023698926
1.162000,0.002525421,0.023606334,1.023693800
1.182000,0.002102361,0.023606375,1.023688436
1.202000,0.001790133,0.023591703,1.023683429
1.222000,0.001589095,0.023563104,1.023678899
1.242000,0.001498366,0.023521608,1.023674965
1.262000,0.001515939,0.023468476,1.023671627
1.282000,0.001639794,0.023405556,1.023668766
1.302000,0.001867217,0.023335095,1.023666620
1.322000,0.002192802,0.023258938,1.023664713
1.342000,0.002609912,0.023178387,1.023662686
1.362000,0.003111336,0.023094568,1.023660302
1.382000,0.003689246,0.023008548,1.023657560
1.402000,0.004333944,0.022921039,1.023653984
1.422000,0.005035493,0.022833195,1.023649812
1.442000,0.005786510,0.022747234,1.023645282
1.462000,0.006579126,0.022665085,1.023640037
1.482000,0.007405942,0.022587745,1.023633838
1.502000,0.008260824,0.022515865,1.023626566
1.522000,0.009137006,0.022449883,1.023617864
1.542000,0.010027380,0.022389693,1.023607969
1.562000,0.010923899,0.022334851,1.023597002
1.582000,0.011818177,0.022284899,1.023585558
1.602000,0.012702133,0.022239789,1.023573637
1.622000,0.013567400,0.022199843,1.023561358
1.642000,0.014406334,0.022165241,1.023548722
1.662000,0.015212356,0.022135958,1.023535848
1.682000,0.015979562,0.022111736,1.023522735
1.702000,0.016702682,0.022092201,1.023509622
1.722000,0.017377069,0.022076972,1.023496628
1.742000,0.017998666,0.022065660,1.023483992
1.762000,0.018564090,0.022057887,1.023471951
1.782000,0.019070689,0.022053359,1.023460507
1.802000,0.019516511,0.022051809,1.023449898
1.822000,0.019900253,0.022053011,1.023440361
1.842000,0.020221332,0.022056825,1.023431778
1.862000,0.020480363,0.022063311,1.023424864
1.882000,0.020678520,0.022072593,1.023419499
1.902000,0.020816756,0.022084603,1.023415804
1.922000,0.020895852,0.022099093,1.023413301
1.942000,0.020917417,0.022115877,1.023411870
1.962000,0.020883763,0.022134816,1.023411393
1.982000,0.020797983,0.022155793,1.023411751
2.002000,0.020663664,0.022178711,1.023413062
2.022000,0.020484718,0.022203393,1.023414969
2.042000,0.020264801,0.022229413,1.023417354
2.062000,0.020007996,0.022256441,1.023419976
2.082000,0.019718366,0.022283779,1.023423195
2.102000,0.019399589,0.022310397,1.023426890
2.122000,0.019055152,0.022335332,1.023431063
2.142000,0.018689563,0.022358127,1.023435473
2.162000,0.018308097,0.022378797,1.023440123
2.182000,0.017915364,0.022397265,1.023445010
2.202000,0.017515210,0.022413310,1.023450017
2.222000,0.017111322,0.022426786,1.023455262
2.242000,0.016707206,0.022437816,1.023460507
2.262000,0.016306140,0.022446794,1.023465753
2.282000,0.015911182,0.022454251,1.023470879
2.302000,0.015525315,0.022460654,1.023475766
2.322000,0.015151288,0.022466445,1.023480415
2.342000,0.014791783,0.022472033,1.023484826
2.362000,0.014449294,0.022477705,1.023488760
2.382000,0.014126093,0.022483630,1.023492336
