time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003920896,-0.000108674,1.032026172
0.042000,-0.003905521,-0.000310327,1.026071310
0.062000,-0.004329199,0.000290052,1.018960714
0.082000,-0.005031998,0.001299683,1.017664671
0.102000,-0.004890231,0.002326431,1.018969178
0.122000,-0.004100318,0.003456055,1.020601273
0.142000,-0.003091508,0.004776546,1.021808267
0.162000,-0.002060600,0.006388377,1.022358298
0.182000,-0.001071037,0.008205827,1.022623539
0.202000,-0.000080273,0.010180366,1.022753954
0.222000,0.000925236,0.012298608,1.022801638
0.242000,0.001949198,0.014551221,1.022803664
0.262000,0.002995138,0.016920282,1.022770762
0.282000,0.004062116,0.019379383,1.022706509
0.302000,0.005149154,0.021912871,1.022610903
0.322000,0.006252829,0.024507523,1.022485852
0.342000,0.007367524,0.027150171,1.022333145
0.362000,0.008487800,0.029829318,1.022158742
0.382000,0.009608642,0.032533329,1.021969318
0.402000,0.010719744,0.035247836,1.021766067
0.422000,0.011801665,0.037959050,1.021551728
0.442000,0.012835036,0.040653080,1.021327972
0.462000,0.013810249,0.043314420,1.021096230
0.482000,0.014720589,0.045927856,1.020860434
0.502000,0.015558587,0.048479155,1.020624757
0.522000,0.016315840,0.050954387,1.020391703
0.542000,0.016979044,0.053342458,1.020169020
0.562000,0.017530674,0.055635031,1.019966006
0.582000,0.017964924,0.057822548,1.019782662
0.602000,0.018284345,0.059897847,1.019621134
0.622000,0.018493118,0.061865792,1.019500136
0.642000,0.018594092,0.063728459,1.019421458
0.662000,0.018590812,0.065483622,1.019373178
0.682000,0.018486271,0.067115135,1.019328833
0.702000,0.018287830,0.068606719,1.019271493
0.722000,0.018004894,0.069949761,1.019184232
0.742000,0.017642869,0.071149491,1.019072771
0.762000,0.017194716,0.072231874,1.018980622
0.782000,0.016652286,0.073258601,1.019004226
0.802000,0.015998023,0.074225448,1.019101620
0.822000,0.015220609,0.075103097,1.019199848
0.842000,0.014323140,0.075851709,1.019236445
0.862000,0.013325305,0.076510780,1.019279599
0.882000,0.012240827,0.077069491,1.019324780
0.902000,0.011072966,0.077524789,1.019369245
0.922000,0.009829002,0.077871442,1.019397974
0.942000,0.008522050,0.078103133,1.019393563
0.962000,0.007168418,0.078215294,1.019343376
0.982000,0.005783492,0.078211069,1.019258142
1.002000,0.004380982,0.078101039,1.019164205
1.022000,0.002973802,0.077891648,1.019072652
1.042000,0.001574546,0.077585906,1.018980980
1.062000,0.000195496,0.077187829,1.018883586
1.082000,-0.001150718,0.076703236,1.018780351
1.102000,-0.002453624,0.076139286,1.018674374
1.122000,-0.003702513,0.075503379,1.018570185
1.142000,-0.004887554,0.074803427,1.018476129
1.162000,-0.006000688,0.074046284,1.018395901
1.182000,-0.007036103,0.073239140,1.018327713
1.202000,-0.007988967,0.072386913,1.018265843
1.222000,-0.008854338,0.071493477,1.018208385
1.242000,-0.009627053,0.070563398,1.018156648
1.262000,-0.010303728,0.069601171,1.018111229
1.282000,-0.010884547,0.068609320,1.018066883
1.302000,-0.011363699,0.067591138,1.018025041
1.322000,-0.011733358,0.066552684,1.017993331
1.342000,-0.011993180,0.065500990,1.017979980
1.362000,-0.012148410,0.064440660,1.017984986
1.382000,-0.012201342,0.063373804,1.018003345
1.402000,-0.012156882,0.062302727,1.018033147
1.422000,-0.012026198,0.061228693,1.018071175
1.442000,-0.011821977,0.060151890,1.018112659
1.462000,-0.011552406,0.059073102,1.018154740
1.482000,-0.011221942,0.057994004,1.018194079
1.502000,-0.010833533,0.056926027,1.018257260
1.522000,-0.010390559,0.055904847,1.018402934
1.542000,-0.009897252,0.054938920,1.018589020
1.562000,-0.009359680,0.054036189,1.018784761
1.582000,-0.008785427,0.053203274,1.018971920
1.602000,-0.008179842,0.052447192,1.019146323
1.622000,-0.007546618,0.051774051,1.019307852
1.642000,-0.006889146,0.051188767,1.019457221
1.662000,-0.006211134,0.050694879,1.019594312
1.682000,-0.005516765,0.050294571,1.019719124
1.702000,-0.004811340,0.049988706,1.019831300
1.722000,-0.004099937,0.049776867,1.019931197
1.742000,-0.003387153,0.049657252,1.020019293
1.762000,-0.002677586,0.049627095,1.020096064
1.782000,-0.001975958,0.049682878,1.020162344
1.802000,-0.001286796,0.049820341,1.020218611
1.822000,-0.000614080,0.050033648,1.020264983
1.842000,0.000038155,0.050312728,1.020301223
1.862000,0.000665155,0.050646257,1.020327926
1.882000,0.001262290,0.051023394,1.020345449
1.902000,0.001825385,0.051435977,1.020354867
1.922000,0.002350598,0.051877335,1.020356774
1.942000,0.002834515,0.052342661,1.020351171
1.962000,0.003274257,0.052827924,1.020339251
1.982000,0.003667219,0.053329200,1.020322084
2.002000,0.004011123,0.053842518,1.020300031
2.022000,0.004303854,0.054364100,1.020273566
2.042000,0.004542205,0.054890737,1.020243406
2.062000,0.004723920,0.055419683,1.020211339
2.082000,0.004849236,0.055948172,1.020177841
2.102000,0.004918022,0.056473356,1.020143151
2.122000,0.004928956,0.056992196,1.020106792
2.142000,0.004882722,0.057500970,1.020066142
2.162000,0.004782040,0.057996143,1.020020723
2.182000,0.004631559,0.058474522,1.019971490
2.202000,0.004438084,0.058933064,1.019919395
2.222000,0.004207578,0.059369143,1.019865990
2.242000,0.003944700,0.059780404,1.019812346
2.262000,0.003653035,0.060164690,1.019758940
2.282000,0.003335704,0.060520053,1.019706249
2.302000,0.002995561,0.060844783,1.019654512
2.322000,0.002635193,0.061137233,1.019603968
2.342000,0.002257302,0.061395802,1.019555092
2.362000,0.001864918,0.061619006,1.019508243
