time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003921325,0.000111222,1.032022595
0.042000,-0.003906367,0.000308661,1.026064754
0.062000,-0.004329268,-0.000292186,1.018950105
0.082000,-0.005035623,-0.001288971,1.017634034
0.102000,-0.004907446,-0.002306879,1.018918037
0.122000,-0.004129005,-0.003434013,1.020551562
0.142000,-0.003120711,-0.004762404,1.021754980
0.162000,-0.002085433,-0.006400560,1.022295594
0.182000,-0.001085178,-0.008249909,1.022565365
0.202000,-0.000082093,-0.010260385,1.022704124
0.222000,0.000930387,-0.012419809,1.022759914
0.242000,0.001955278,-0.014714010,1.022769213
0.262000,0.002996298,-0.017122483,1.022737384
0.282000,0.004053713,-0.019622331,1.022669077
0.302000,0.005128957,-0.022191808,1.022571325
0.322000,0.006221110,-0.024820857,1.022444725
0.342000,0.007325311,-0.027497431,1.022290587
0.362000,0.008435593,-0.030209048,1.022113681
0.382000,0.009546638,-0.032943483,1.021921277
0.402000,0.010649256,-0.035686385,1.021715403
0.422000,0.011721723,-0.038423281,1.021498561
0.442000,0.012745484,-0.041139636,1.021271825
0.462000,0.013712240,-0.043820031,1.021037102
0.482000,0.014615584,-0.046449330,1.020798802
0.502000,0.015447536,-0.049012937,1.020560741
0.522000,0.016199151,-0.051496644,1.020326018
0.542000,0.016856946,-0.053890277,1.020104885
0.562000,0.017403537,-0.056185853,1.019906044
0.582000,0.017833281,-0.058372661,1.019726276
0.602000,0.018149281,-0.060445469,1.019569039
0.622000,0.018356413,-0.062409781,1.019450545
0.642000,0.018457949,-0.064266734,1.019370079
0.662000,0.018456945,-0.066006519,1.019308686
0.682000,0.018358128,-0.067608967,1.019242048
0.702000,0.018170550,-0.069068693,1.019156337
0.722000,0.017901555,-0.070386052,1.019046426
0.742000,0.017547267,-0.071593054,1.018964529
0.762000,0.017099466,-0.072747409,1.018995166
0.782000,0.016538814,-0.073844768,1.019098878
0.802000,0.015853617,-0.074826419,1.019162059
0.822000,0.015048021,-0.075717077,1.019217610
0.842000,0.014141450,-0.076523945,1.019272804
0.862000,0.013140666,-0.077238694,1.019331932
0.882000,0.012049754,-0.077844203,1.019366145
0.902000,0.010876741,-0.078342922,1.019382358
0.922000,0.009636772,-0.078730866,1.019367814
0.942000,0.008343145,-0.079007372,1.019320250
0.962000,0.007006568,-0.079178177,1.019254684
0.982000,0.005638361,-0.079250351,1.019186735
1.002000,0.004250681,-0.079227261,1.019118428
1.022000,0.002856166,-0.079110332,1.019045591
1.042000,0.001467490,-0.078901388,1.018964767
1.062000,0.000097088,-0.078604467,1.018875122
1.082000,-0.001242665,-0.078225553,1.018779635
1.102000,-0.002541340,-0.077771612,1.018682241
1.122000,-0.003788919,-0.077249177,1.018587589
1.142000,-0.004976075,-0.076664716,1.018502474
1.162000,-0.006095110,-0.076023415,1.018429160
1.182000,-0.007140237,-0.075330853,1.018365622
1.202000,-0.008106413,-0.074592188,1.018309116
1.222000,-0.008988625,-0.073810808,1.018256903
1.242000,-0.009782127,-0.072990470,1.018209100
1.262000,-0.010482813,-0.072135366,1.018167138
1.282000,-0.011088682,-0.071248963,1.018128991
1.302000,-0.011599688,-0.070333429,1.018091440
1.322000,-0.012009036,-0.069391541,1.018055439
1.342000,-0.012308910,-0.068429142,1.018028975
1.362000,-0.012499973,-0.067453057,1.018019319
1.382000,-0.012585312,-0.066467598,1.018025517
1.402000,-0.012567662,-0.065475665,1.018044710
1.422000,-0.012455597,-0.064480454,1.018075824
1.442000,-0.012261298,-0.063483961,1.018115282
1.462000,-0.011996313,-0.062487591,1.018159032
1.482000,-0.011668009,-0.061493333,1.018204570
1.502000,-0.011280419,-0.060503051,1.018248200
1.522000,-0.010836965,-0.059517819,1.018287301
1.542000,-0.010341626,-0.058538582,1.018321991
1.562000,-0.009799954,-0.057567466,1.018356919
1.582000,-0.009221025,-0.056635872,1.018464446
1.602000,-0.008605783,-0.055752359,1.018613935
1.622000,-0.007959319,-0.054925121,1.018783808
1.642000,-0.007287800,-0.054158814,1.018952012
1.662000,-0.006597200,-0.053457998,1.019110441
1.682000,-0.005892141,-0.052827172,1.019258261
1.702000,-0.005176487,-0.052270096,1.019395709
1.722000,-0.004454123,-0.051789619,1.019523144
1.742000,-0.003729219,-0.051387627,1.019640446
1.762000,-0.003006359,-0.051065098,1.019747257
1.782000,-0.002290803,-0.050822128,1.019843578
1.802000,-0.001587790,-0.050657850,1.019929409
1.822000,-0.000902163,-0.050570589,1.020005226
1.842000,-0.000238505,-0.050557837,1.020071626
1.862000,0.000399031,-0.050616458,1.020128846
1.882000,0.001006271,-0.050741997,1.020177364
1.902000,0.001579374,-0.050926879,1.020216823
1.922000,0.002114353,-0.051162858,1.020246744
1.942000,0.002607358,-0.051441684,1.020268321
1.962000,0.003055189,-0.051754326,1.020282388
1.982000,0.003455304,-0.052093349,1.020290017
2.002000,0.003805554,-0.052452691,1.020291924
2.022000,0.004104171,-0.052828178,1.020287395
2.042000,0.004350008,-0.053216636,1.020277619
2.062000,0.004542309,-0.053615209,1.020263195
2.082000,0.004680592,-0.054021034,1.020244718
2.102000,0.004763416,-0.054431632,1.020222902
2.122000,0.004789437,-0.054845095,1.020198822
2.142000,0.004758756,-0.055259518,1.020173073
2.162000,0.004672564,-0.055672769,1.020145178
2.182000,0.004533842,-0.056082610,1.020115018
2.202000,0.004346339,-0.056486446,1.020081043
2.222000,0.004114543,-0.056881655,1.020042300
2.242000,0.003843401,-0.057266004,1.019999743
2.262000,0.003539204,-0.057637539,1.019954681
