time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003911278,0.000058079,1.032022715
0.042000,-0.003884060,0.000171845,1.026062489
0.062000,-0.004338450,-0.000290659,1.019086838
0.082000,-0.005044728,-0.001002225,1.017985940
0.102000,-0.004855164,-0.001505008,1.019356012
0.122000,-0.004025131,-0.001842306,1.021117330
0.142000,-0.002962622,-0.002227895,1.022220850
0.162000,-0.001898349,-0.002793782,1.022710681
0.182000,-0.000811907,-0.003431055,1.023035049
0.202000,0.000322002,-0.004074552,1.023252130
0.222000,0.001475717,-0.004715986,1.023395777
0.242000,0.002643204,-0.005348805,1.023491740
0.262000,0.003826471,-0.005966077,1.023559213
0.282000,0.005029023,-0.006564538,1.023608327
0.302000,0.006253234,-0.007144221,1.023643494
0.322000,0.007497332,-0.007705711,1.023669362
0.342000,0.008754959,-0.008249369,1.023689032
0.362000,0.010015871,-0.008778194,1.023704290
0.382000,0.011267312,-0.009303562,1.023716211
0.402000,0.012496275,-0.009830869,1.023724914
0.422000,0.013687843,-0.010360343,1.023731232
0.442000,0.014827121,-0.010892102,1.023735523
0.462000,0.015900858,-0.011426063,1.023738027
0.482000,0.016894648,-0.011961615,1.023738980
0.502000,0.017787540,-0.012497126,1.023738265
0.522000,0.018561201,-0.013031137,1.023736119
0.542000,0.019210380,-0.013563369,1.023732424
0.562000,0.019734105,-0.014094122,1.023727417
0.582000,0.020130970,-0.014623847,1.023721576
0.602000,0.020401299,-0.015153226,1.023716450
0.622000,0.020543842,-0.015682066,1.023712039
0.642000,0.020558303,-0.016210014,1.023708224
0.662000,0.020446004,-0.016736547,1.023704767
0.682000,0.020210268,-0.017259281,1.023701549
0.702000,0.019856023,-0.017774140,1.023698092
0.722000,0.019389771,-0.018276388,1.023694515
0.742000,0.018817285,-0.018761914,1.023690224
0.762000,0.018145917,-0.019227985,1.023685455
0.782000,0.017384902,-0.019672876,1.023680568
0.802000,0.016543796,-0.020095712,1.023675919
0.822000,0.015633143,-0.020495828,1.023671627
0.842000,0.014662647,-0.020871958,1.023668289
0.862000,0.013643327,-0.021222724,1.023665547
0.882000,0.012586535,-0.021546841,1.023663282
0.902000,0.011503907,-0.021843182,1.023661137
0.922000,0.010407361,-0.022110820,1.023658872
0.942000,0.009308930,-0.022349270,1.023656130
0.962000,0.008220570,-0.022558091,1.023652673
0.982000,0.007154207,-0.022737058,1.023648143
1.002000,0.006121361,-0.022887480,1.023642659
1.022000,0.005133399,-0.023011843,1.023636222
1.042000,0.004201245,-0.023112435,1.023628831
1.062000,0.003334862,-0.023191225,1.023620844
1.082000,0.002543026,-0.023249926,1.023612261
1.102000,0.001833224,-0.023289979,1.023603439
1.122000,0.001211631,-0.023312608,1.023594618
1.142000,0.000683119,-0.023318872,1.023585796
1.162000,0.000251258,-0.023309777,1.023577213
1.182000,-0.000081562,-0.023286164,1.023568988
1.202000,-0.000314096,-0.023248760,1.023561358
1.222000,-0.000446290,-0.023198368,1.023554444
1.242000,-0.000479148,-0.023135718,1.023548365
1.262000,-0.000414356,-0.023061492,1.023543000
1.282000,-0.000253828,-0.022976853,1.023538232
1.302000,-0.000000621,-0.022883207,1.023534179
1.322000,0.000340163,-0.022781583,1.023530245
1.342000,0.000762283,-0.022672892,1.023526430
1.362000,0.001258979,-0.022558177,1.023522496
1.382000,0.001822840,-0.022438610,1.023518443
1.402000,0.002444618,-0.022315305,1.023513913
1.422000,0.003114054,-0.022189986,1.023508668
1.442000,0.003822092,-0.022064535,1.023502350
1.462000,0.004562176,-0.021940742,1.023495078
1.482000,0.005328369,-0.021820650,1.023486733
1.502000,0.006115637,-0.021705605,1.023477316
1.522000,0.006918232,-0.021596547,1.023467183
1.542000,0.007729208,-0.021494191,1.023456812
1.562000,0.008541415,-0.021398921,1.023446798
1.582000,0.009347899,-0.021310814,1.023437023
1.602000,0.010142011,-0.021229764,1.023427725
1.622000,0.010917430,-0.021155847,1.023418903
1.642000,0.011668263,-0.021089416,1.023410320
1.662000,0.012388596,-0.021030812,1.023401499
1.682000,0.013073071,-0.020980118,1.023392558
1.702000,0.013717295,-0.020937052,1.023383379
1.722000,0.014317492,-0.020901315,1.023374200
1.742000,0.014870401,-0.020872600,1.023365021
1.762000,0.015373305,-0.020850573,1.023356080
1.782000,0.015824057,-0.020834887,1.023347616
1.802000,0.016221860,-0.020825464,1.023339868
1.822000,0.016565872,-0.020822225,1.023333430
1.842000,0.016854905,-0.020824913,1.023328066
1.862000,0.017088428,-0.020833021,1.023323774
1.882000,0.017266514,-0.020845922,1.023320317
1.902000,0.017389541,-0.020862965,1.023317456
1.922000,0.017458711,-0.020883763,1.023315191
1.942000,0.017475715,-0.020908102,1.023313642
1.962000,0.017442713,-0.020935902,1.023312688
1.982000,0.017362479,-0.020967111,1.023312449
2.002000,0.017237682,-0.021001589,1.023312569
2.022000,0.017071471,-0.021039302,1.023313165
2.042000,0.016867734,-0.021079656,1.023313999
2.062000,0.016630502,-0.021121847,1.023315072
2.082000,0.016363362,-0.021165244,1.023316622
2.102000,0.016069964,-0.021209231,1.023318529
2.122000,0.015754007,-0.021253008,1.023320794
2.142000,0.015419703,-0.021295954,1.023323178
2.162000,0.015071331,-0.021337649,1.023325682
2.182000,0.014712947,-0.021377740,1.023328185
2.202000,0.014347857,-0.021415753,1.023330688
2.222000,0.013979177,-0.021451265,1.023333311
2.242000,0.013610044,-0.021483965,1.023335814
2.262000,0.013243493,-0.021513591,1.023338199
2.282000,0.012882476,-0.021539927,1.023340464
